battery,cycle,current_soh,soh_slope,mean_degradation_rate,recent_degradation_rate,volatility,state_soh_level,dynamics_score,state_degradation_dynamics,normalized_cycle_position,state_cycle_position
CS2_38,1,1.03593005733035,,,,,Early,,,0.001,Early-life
CS2_38,2,1.0263938590925217,,,,,Early,,,0.002,Early-life
CS2_38,3,1.0260134570418598,,,,,Early,,,0.003,Early-life
CS2_38,4,1.0249182233161145,,,,,Early,,,0.004,Early-life
CS2_38,5,1.0233937438630645,,,,,Early,,,0.005,Early-life
CS2_38,6,1.022242944969138,,,,,Early,,,0.006,Early-life
CS2_38,7,1.0148496789361217,,,,,Early,,,0.007,Early-life
CS2_38,8,1.004517331654478,,,0.0044875322394102935,,Early,,,0.008,Early-life
CS2_38,9,1.0005057394802648,,,0.0036983028017509856,,Early,,,0.009,Early-life
CS2_38,10,0.9976955353559585,,,0.004045417383700186,,Early,,,0.01,Early-life
CS2_38,11,0.9936781190993472,,,0.004462872030966751,,Early,,,0.011,Early-life
CS2_38,12,1.0006542948538553,,,0.003248492715601316,,Early,,,0.012,Early-life
CS2_38,13,1.0026445523515437,,,0.002799770373942031,,Early,,,0.013,Early-life
CS2_38,14,1.0029471290240042,,,0.0017003642731596397,,Early,,,0.014,Early-life
CS2_38,15,1.0026522583365167,,,0.0002664390454230376,,Early,,,0.015,Early-life
CS2_38,16,1.002168802776337,,,-0.00023758047086744734,,Early,,,0.016,Early-life
CS2_38,17,1.001889950145526,,,-0.0005992021127953733,,Early,,,0.017,Early-life
CS2_38,18,1.0012918015227836,,,-0.0010876689176337725,,Early,,,0.018,Early-life
CS2_38,19,1.0007814602257363,,,-1.8166481697295162e-05,,Early,,,0.019,Early-life
CS2_38,20,1.0000452105304738,,,0.0003713345458671302,,Early,,,0.02,Early-life
CS2_38,21,0.9993717573167482,,,0.0005107673867508529,,Early,,,0.021,Early-life
CS2_38,22,0.998757784486082,,,0.0005563534072049617,,Early,,,0.022,Early-life
CS2_38,23,0.9982286084653323,,,0.0005628849015720805,,Early,,,0.023,Early-life
CS2_38,24,0.997730032295869,,,0.00059427397852244,,Early,,,0.024,Early-life
CS2_38,25,0.9971629719909488,,,0.0005898327902621141,,Early,,,0.025,Early-life
CS2_38,26,0.9964720586312578,,,0.000615628799211224,,Early,,,0.026,Early-life
CS2_38,27,0.995814771881572,,,0.0006043483784145463,,Early,,,0.027,Early-life
CS2_38,28,0.9826907011658518,,,0.0023830080215566335,,Early,,,0.028,Early-life
CS2_38,29,0.9776750424488512,,,0.003011820291032974,,Early,,,0.029,Early-life
CS2_38,30,0.9748277803564678,,,0.00334297544412351,,Early,,,0.03,Early-life
CS2_38,31,0.972535205069556,,,0.0035992610323304203,,Early,,,0.031,Early-life
CS2_38,32,0.9703174508864748,-0.0014934203099881004,0.0021165356917379106,0.003835074443496289,0.003791022712216328,Early,0.0026642473767421945,,0.032,Early-life
CS2_38,33,0.9815531781795462,-0.0013980677099761204,0.0014464735778379175,0.002131268635958789,0.004244481320188391,Early,0.0017646681729674546,,0.033,Early-life
CS2_38,34,0.9834663742572888,-0.0013295904224891507,0.0013724865414377735,0.0017640568034690274,0.004283494778364215,Early,0.001546823612979089,,0.034,Early-life
CS2_38,35,0.9708336043567942,-0.001319455174026556,0.0017446651277200085,0.0016938709727225079,0.004735936773888028,Early,0.0015066630733745318,,0.035,Early-life
CS2_38,36,0.965340983751278,-0.0013269251759947356,0.001872669681025371,0.0017620083853676003,0.004783177682198613,Early,0.001544466780681168,,0.036,Early-life
CS2_38,37,0.9652985623080212,-0.0013220176866802732,0.0018369155697134413,0.0013613168640637901,0.004792886201835413,Early,0.0013416672753720315,,0.037,Early-life
CS2_38,38,0.9637392936049076,-0.0013116342681477207,0.0016487221074585174,0.0012565587806640602,0.004680665484976524,Early,0.0012840965244058904,,0.038,Early-life
CS2_38,39,0.9632306003951704,-0.0013274128668187824,0.0013318300406228256,0.0010124072130434886,0.0043971208881368705,Early,0.0011699100399311354,,0.039,Early-life
CS2_38,40,0.9738270927855746,-0.0013265562087284395,0.0008606015062803297,0.0011037264848530975,0.004858875616826279,Early,0.0012151413467907685,,0.04,Early-life
CS2_38,41,0.9756104348849444,-0.001328580499855624,0.000712422595839164,0.0011222770531920587,0.004867473638144082,Early,0.0012254287765238413,,0.041,Early-life
CS2_38,42,0.963056337490232,-0.00140980624738812,0.0009877994067456523,0.0011110381237946023,0.005284317879215243,Early,0.001260422185591361,,0.042,Early-life
CS2_38,43,0.9600548417037204,-0.001519687183725366,0.00130965977903661,0.0007551631496510883,0.0050831063964267755,Early,0.001137425166688227,Slow,0.043,Early-life
CS2_38,44,0.9598192328796852,-0.0015763869468322445,0.0013814619184470492,0.0007827613469051523,0.005050555839306579,Early,0.0011795741468686983,Slow,0.044,Early-life
CS2_38,45,0.9598319938502377,-0.0016060074922963062,0.0013908108120569847,0.0005581856792385669,0.005047602039949248,Early,0.0010820965857674366,Slow,0.045,Early-life
CS2_38,46,0.9566584741898057,-0.0016361355455095433,0.0014836704563455183,0.0009388751721949624,0.005053243995602455,Early,0.0012875053588522528,Medium,0.046,Early-life
CS2_38,47,0.9672360954287544,-0.0015909789881310035,0.00112686152734137,0.0009415710509743023,0.005497229250349373,Early,0.001266275019552653,Medium,0.047,Early-life
CS2_38,48,0.9694272956715624,-0.0015233140913359312,0.0010471824023859252,0.0008833056019117118,0.005527746635828111,Early,0.0012033098466238215,Slow,0.048,Early-life
CS2_38,49,0.9595317477588464,-0.0015015584885110776,0.0013470985085141036,0.0005035128187693694,0.00575031299778322,Early,0.0010025356536402235,Slow,0.049,Early-life
CS2_38,50,0.9562328125296656,-0.0014866374699753868,0.0014370531514861515,0.0005460041677221028,0.005758592548403593,Early,0.0010163208188487447,Slow,0.05,Early-life
CS2_38,51,0.9549278035106438,-0.0014657007924231953,0.0014554002264461298,0.000698775624148773,0.005757191211156698,Early,0.001082238208285984,Slow,0.051,Early-life
CS2_38,52,0.9547431909125688,-0.0014334576480553446,0.0014396311743283693,0.0007269718482384129,0.005760073120968665,Early,0.0010802147481468788,Slow,0.052,Early-life
CS2_38,53,0.9543880867691712,-0.0013906991344174217,0.0014312805715132515,0.00032434106009063664,0.005761497479642895,Early,0.0008575200972540291,Slow,0.053,Early-life
CS2_38,54,0.9944314309251764,-0.0011076455499365344,0.0001224895980695471,-0.003885047928060278,0.009419970544413818,Early,-0.0013887011890618716,Slow,0.054,Early-life
CS2_38,55,0.9954450304986198,-0.0008204476316554522,7.370973539513613e-05,-0.0037168192610081974,0.009421873213432819,Early,-0.0014481858146763726,Slow,0.055,Early-life
CS2_38,56,0.9978495327382044,-0.0005215829773464442,-2.2147120879212693e-05,-0.0054739692827654295,0.00943179753222193,Early,-0.002476193152709493,Slow,0.056,Early-life
CS2_38,57,0.9987580862064268,-0.00022102969280140652,-7.374282500545314e-05,-0.006075039096680168,0.009432141637350585,Early,-0.0029270047019393807,Slow,0.057,Early-life
CS2_38,58,0.9900338382318322,2.5190370241954734e-05,0.00018648173063676613,-0.005015147817312636,0.009563349992692443,Early,-0.0025201690937772954,Slow,0.058,Early-life
CS2_38,59,0.985715380873416,0.0002452582705192413,-9.757031314723418e-05,-0.004424598565835325,0.009293224510098048,Early,-0.002334928418177283,Slow,0.059,Early-life
CS2_38,60,0.985249561381207,0.00038700213196570676,-0.0002443393203985753,-0.004408782087433687,0.009245584847959358,Early,-0.002397892109699697,Slow,0.06,Early-life
CS2_38,61,0.9812958637172844,0.00047500715806149716,-0.00020864785034892299,0.001876509601127428,0.009260041757174785,Early,0.0007007512215329654,Slow,0.061,Early-life
CS2_38,62,0.9816045305926964,0.0005462173493977846,-0.0002925588878432363,0.001977214272274771,0.009248399526464045,Early,0.0007154984614384933,Slow,0.062,Early-life
CS2_38,63,0.9808489914612698,0.0005967841759953138,-0.0003397271153159676,0.002428648753847803,0.009238893659749498,Early,0.0009159322889262446,Slow,0.063,Early-life
CS2_38,64,0.9758329537595112,0.0006023893769367484,0.0001845233683882277,0.003275018920987947,0.009059352594468998,Early,0.0013363147720255994,Fast,0.064,Early-life
CS2_38,65,0.9708802684247898,0.0006457905363732145,0.00040600341395157977,0.0027362242581489165,0.009090233529933487,Early,0.0010452168608878509,Medium,0.065,Early-life
CS2_38,66,0.96940398503421,0.0006962878294180065,4.611675234142678e-05,0.0023301994056008635,0.00880645024719264,Early,0.0008169557880914286,Slow,0.066,Early-life
CS2_38,67,0.9663214730715242,0.0006580178022440807,-3.162868774987715e-05,0.0027040126156689776,0.008767316000126129,Early,0.0010229974067124483,Medium,0.067,Early-life
