battery,feature,horizon,metric,block_length,bootstrap_n,estimate,ci_low,ci_high,n
CS2_35,HF1,1,degradation_pearson,10,1000,-0.019149437432695107,-0.04629059037542717,0.007850065333500668,875
CS2_35,HF1,1,degradation_spearman,10,1000,-0.0850963513286839,-0.1820549088805645,0.005853384207318748,875
CS2_35,HF1,1,partial_pearson_controlling_SOH,10,1000,0.45143265802690946,0.31784995202207245,0.6144400321128629,875
CS2_35,HF1,1,degradation_pearson,20,1000,-0.01835897440119156,-0.0425378107914857,0.0041984491949905375,875
CS2_35,HF1,1,degradation_spearman,20,1000,-0.08920160117982223,-0.19235588673324625,0.03147326456828322,875
CS2_35,HF1,1,partial_pearson_controlling_SOH,20,1000,0.45474263699949097,0.3107605142607467,0.6318237473885554,875
CS2_35,HF1,1,degradation_pearson,30,1000,-0.018192762946170397,-0.04300235159847416,0.0033849802610672395,875
CS2_35,HF1,1,degradation_spearman,30,1000,-0.0835414027548258,-0.19356118392167632,0.04977803209211502,875
CS2_35,HF1,1,partial_pearson_controlling_SOH,30,1000,0.45254686871680394,0.31425164203615275,0.6270687299408262,875
CS2_35,HF2,1,degradation_pearson,10,1000,0.02228072014257016,-0.03377633838331869,0.07866004840647275,851
CS2_35,HF2,1,degradation_spearman,10,1000,0.044335237187141344,-0.060665314331741854,0.14384705274078258,851
CS2_35,HF2,1,partial_pearson_controlling_SOH,10,1000,0.0724538153385653,0.0076961621103551914,0.1412117175534608,851
CS2_35,HF2,1,degradation_pearson,20,1000,0.021234381082143657,-0.03805392444257107,0.0782462658935168,851
CS2_35,HF2,1,degradation_spearman,20,1000,0.04166428224107106,-0.0834256449437209,0.15105270709100552,851
CS2_35,HF2,1,partial_pearson_controlling_SOH,20,1000,0.07374937808839092,0.01188990685092175,0.13299283209230026,851
CS2_35,HF2,1,degradation_pearson,30,1000,0.020183755617645037,-0.03948912584061047,0.0805058458199472,851
CS2_35,HF2,1,degradation_spearman,30,1000,0.041160928475456576,-0.09407945190307802,0.14900502481777014,851
CS2_35,HF2,1,partial_pearson_controlling_SOH,30,1000,0.07388216155736022,0.011176981024009951,0.13184003331888527,851
CS2_35,HF3,1,degradation_pearson,10,1000,-0.017679880005296522,-0.08376797161593919,0.019826385548322036,849
CS2_35,HF3,1,degradation_spearman,10,1000,-0.13993649100036137,-0.23840760208035636,-0.042137635711517324,849
CS2_35,HF3,1,partial_pearson_controlling_SOH,10,1000,-0.01726441276137,-0.09892480703917356,-0.0021420984842853907,849
CS2_35,HF3,1,degradation_pearson,20,1000,-0.01747089857293496,-0.08915196014574023,0.02132512694908352,849
CS2_35,HF3,1,degradation_spearman,20,1000,-0.1395331643787781,-0.24525061878186427,-0.03366306775940103,849
CS2_35,HF3,1,partial_pearson_controlling_SOH,20,1000,-0.016285130069238485,-0.08368896461717967,-0.0013418800215599692,849
