battery,field,value
CS2_35,cycles_total,886.0
CS2_35,cycles_valid_capacity,882.0
CS2_35,duplicate_cycle_id,0.0
CS2_35,nonmonotone_time,0.0
CS2_35,nominal_capacity_Ah,1.1
CS2_35,overlapping_cycle_exports_collapsed,50.0
CS2_36,cycles_total,976.0
CS2_36,cycles_valid_capacity,973.0
CS2_36,duplicate_cycle_id,0.0
CS2_36,nonmonotone_time,0.0
CS2_36,nominal_capacity_Ah,1.1
CS2_36,overlapping_cycle_exports_collapsed,0.0
CS2_37,cycles_total,1043.0
CS2_37,cycles_valid_capacity,1038.0
CS2_37,duplicate_cycle_id,0.0
CS2_37,nonmonotone_time,0.0
CS2_37,nominal_capacity_Ah,1.1
CS2_37,overlapping_cycle_exports_collapsed,0.0
CS2_38,cycles_total,1032.0
CS2_38,cycles_valid_capacity,1028.0
CS2_38,duplicate_cycle_id,0.0
CS2_38,nonmonotone_time,0.0
CS2_38,nominal_capacity_Ah,1.1
CS2_38,overlapping_cycle_exports_collapsed,50.0
