battery,feature,n,missing,infinite,robust_8mad_extreme,extreme_cycles
CS2_35,SOH,886,4,0,0,
CS2_35,HF1,886,2,0,0,
CS2_35,HF2,886,28,0,0,
CS2_35,HF3,886,32,0,6,99;106;475;858;863;868
CS2_35,HF4,886,309,0,0,
CS2_35,HF5,886,310,0,0,
CS2_35,HF6,886,310,0,0,
CS2_35,HF7,886,2,0,0,
CS2_35,HF8,886,28,0,0,
CS2_35,capacity_Ah,886,4,0,0,
CS2_36,SOH,976,3,0,0,
CS2_36,HF1,976,1,0,0,
CS2_36,HF2,976,28,0,0,
CS2_36,HF3,976,29,0,10,97;255;256;265;548;549;927;928;944;961
CS2_36,HF4,976,366,0,0,
CS2_36,HF5,976,366,0,0,
CS2_36,HF6,976,366,0,0,
CS2_36,HF7,976,1,0,0,
CS2_36,HF8,976,28,0,0,
CS2_36,capacity_Ah,976,3,0,0,
CS2_37,SOH,1043,5,0,0,
CS2_37,HF1,1043,4,0,0,
CS2_37,HF2,1043,30,0,0,
CS2_37,HF3,1043,37,0,5,98;450;795;990;995
CS2_37,HF4,1043,399,0,0,
CS2_37,HF5,1043,399,0,0,
CS2_37,HF6,1043,399,0,0,
CS2_37,HF7,1043,4,0,0,
CS2_37,HF8,1043,30,0,0,
CS2_37,capacity_Ah,1043,5,0,0,
CS2_38,SOH,1032,4,0,2,96;790
CS2_38,HF1,1032,4,0,0,
CS2_38,HF2,1032,33,0,0,
CS2_38,HF3,1032,39,0,9,96;280;281;448;790;974;983;1017;1028
CS2_38,HF4,1032,480,0,0,
CS2_38,HF5,1032,480,0,0,
CS2_38,HF6,1032,480,0,0,
CS2_38,HF7,1032,4,0,0,
CS2_38,HF8,1032,33,0,0,
CS2_38,capacity_Ah,1032,4,0,2,96;790
