battery,feature,horizon,ranking_metric,value,rank
CS2_35,HF1,1,abs_future_soh_spearman,0.9692012386767376,1.0
CS2_35,HF2,1,abs_future_soh_spearman,-0.8971540116489298,6.0
CS2_35,HF3,1,abs_future_soh_spearman,0.9011707447163144,5.0
CS2_35,HF4,1,abs_future_soh_spearman,0.9515269151138718,3.0
CS2_35,HF5,1,abs_future_soh_spearman,0.8809785285586587,7.0
CS2_35,HF6,1,abs_future_soh_spearman,0.8595243007868469,8.0
CS2_35,HF7,1,abs_future_soh_spearman,0.968757407100828,2.0
CS2_35,HF8,1,abs_future_soh_spearman,-0.9065913781865643,4.0
CS2_35,HF1,4,abs_future_soh_spearman,0.9629913755977391,1.0
CS2_35,HF2,4,abs_future_soh_spearman,-0.8874804190651027,5.0
CS2_35,HF3,4,abs_future_soh_spearman,0.8795342038311835,6.0
CS2_35,HF4,4,abs_future_soh_spearman,0.9257564497208497,3.0
CS2_35,HF5,4,abs_future_soh_spearman,0.8302378250022229,8.0
CS2_35,HF6,4,abs_future_soh_spearman,0.8302663131632538,7.0
CS2_35,HF7,4,abs_future_soh_spearman,0.9624636391815388,2.0
CS2_35,HF8,4,abs_future_soh_spearman,-0.8967593851155833,4.0
CS2_35,HF1,8,abs_future_soh_spearman,0.9597592941664225,1.0
CS2_35,HF2,8,abs_future_soh_spearman,-0.8908009017218957,6.0
CS2_35,HF3,8,abs_future_soh_spearman,0.8934048610418489,5.0
CS2_35,HF4,8,abs_future_soh_spearman,0.9299481674599516,3.0
CS2_35,HF5,8,abs_future_soh_spearman,0.8537660781307825,7.0
CS2_35,HF6,8,abs_future_soh_spearman,0.8428734526179438,8.0
CS2_35,HF7,8,abs_future_soh_spearman,0.959297483421311,2.0
CS2_35,HF8,8,abs_future_soh_spearman,-0.899600169444164,4.0
CS2_35,HF1,12,abs_future_soh_spearman,0.9506410530357879,1.0
CS2_35,HF2,12,abs_future_soh_spearman,-0.8759293754606754,5.0
CS2_35,HF3,12,abs_future_soh_spearman,0.8633019949166159,6.0
CS2_35,HF4,12,abs_future_soh_spearman,0.8974603086475077,3.0
CS2_35,HF5,12,abs_future_soh_spearman,0.7930071460910434,8.0
CS2_35,HF6,12,abs_future_soh_spearman,0.8014262390079562,7.0
CS2_35,HF7,12,abs_future_soh_spearman,0.9502695018502937,2.0
CS2_35,HF8,12,abs_future_soh_spearman,-0.885279151226559,4.0
CS2_35,HF1,16,abs_future_soh_spearman,0.9480421652001836,1.0
CS2_35,HF2,16,abs_future_soh_spearman,-0.8777801238232826,5.0
CS2_35,HF3,16,abs_future_soh_spearman,0.8752508852591138,6.0
CS2_35,HF4,16,abs_future_soh_spearman,0.8938832526564671,3.0
CS2_35,HF5,16,abs_future_soh_spearman,0.8072481088060196,8.0
CS2_35,HF6,16,abs_future_soh_spearman,0.812293791332859,7.0
CS2_35,HF7,16,abs_future_soh_spearman,0.9475415382641469,2.0
CS2_35,HF8,16,abs_future_soh_spearman,-0.8873428816872146,4.0
CS2_35,HF1,24,abs_future_soh_spearman,0.9449623032488254,1.0
CS2_35,HF2,24,abs_future_soh_spearman,-0.8713437406945193,5.0
CS2_35,HF3,24,abs_future_soh_spearman,0.8636668685165485,6.0
CS2_35,HF4,24,abs_future_soh_spearman,0.8825860273431518,3.0
CS2_35,HF5,24,abs_future_soh_spearman,0.7858847192904145,8.0
CS2_35,HF6,24,abs_future_soh_spearman,0.7959007182164234,7.0
CS2_35,HF7,24,abs_future_soh_spearman,0.9444171706750384,2.0
CS2_35,HF8,24,abs_future_soh_spearman,-0.8815720726644996,4.0
CS2_35,HF1,32,abs_future_soh_spearman,0.9400980136180666,1.0
CS2_35,HF2,32,abs_future_soh_spearman,-0.871106271630937,5.0
CS2_35,HF3,32,abs_future_soh_spearman,0.8593467754838734,6.0
CS2_35,HF4,32,abs_future_soh_spearman,0.8744063369741694,4.0
CS2_35,HF5,32,abs_future_soh_spearman,0.7805475714427316,8.0
CS2_35,HF6,32,abs_future_soh_spearman,0.7894081755186675,7.0
CS2_35,HF7,32,abs_future_soh_spearman,0.9395329521956782,2.0
CS2_35,HF8,32,abs_future_soh_spearman,-0.8815412371769633,3.0
CS2_35,HF1,48,abs_future_soh_spearman,0.9433364223223308,1.0
CS2_35,HF2,48,abs_future_soh_spearman,-0.86693853169065,4.0
CS2_35,HF3,48,abs_future_soh_spearman,0.8443735297742401,6.0
CS2_35,HF4,48,abs_future_soh_spearman,0.8664363354037269,5.0
CS2_35,HF5,48,abs_future_soh_spearman,0.7664996656860652,8.0
CS2_35,HF6,48,abs_future_soh_spearman,0.7941288866401339,7.0
CS2_35,HF7,48,abs_future_soh_spearman,0.9429692355750001,2.0
CS2_35,HF8,48,abs_future_soh_spearman,-0.8782659166341543,3.0
CS2_35,HF1,64,abs_future_soh_spearman,0.9257412860012523,1.0
CS2_35,HF2,64,abs_future_soh_spearman,-0.854635647102969,4.0
CS2_35,HF3,64,abs_future_soh_spearman,0.8303981670440397,6.0
CS2_35,HF4,64,abs_future_soh_spearman,0.8479729081452306,5.0
CS2_35,HF5,64,abs_future_soh_spearman,0.7375792181257638,8.0
CS2_35,HF6,64,abs_future_soh_spearman,0.7703135012781588,7.0
