battery,feature,horizon,metric,value,n
CS2_35,HF1,1,pearson,-0.019761574548828608,881
CS2_35,HF1,1,spearman,-0.09276493795537086,881
CS2_35,HF2,1,pearson,0.022786982491590356,881
CS2_35,HF2,1,spearman,0.04947697382191817,881
CS2_35,HF3,1,pearson,-0.016305696920273765,881
CS2_35,HF3,1,spearman,-0.14114409588090188,881
CS2_35,HF4,1,pearson,-0.03122484858646884,881
CS2_35,HF4,1,spearman,0.08313336363177298,881
CS2_35,HF5,1,pearson,-0.024563891918555035,881
CS2_35,HF5,1,spearman,0.044856443296311596,881
CS2_35,HF6,1,pearson,0.014779479480015598,881
CS2_35,HF6,1,spearman,0.11943035781400566,881
CS2_35,HF7,1,pearson,-0.01950342810115267,881
CS2_35,HF7,1,spearman,-0.09174093516407872,881
CS2_35,HF8,1,pearson,0.031281849569939055,881
CS2_35,HF8,1,spearman,0.05655435342242866,881
CS2_35,HF1,4,pearson,-0.07354695977925414,878
CS2_35,HF1,4,spearman,-0.10021766915699787,878
CS2_35,HF2,4,pearson,0.07466869365383816,878
CS2_35,HF2,4,spearman,0.055480420457782585,878
CS2_35,HF3,4,pearson,-0.07830043962789078,878
CS2_35,HF3,4,spearman,-0.055161750415432906,878
CS2_35,HF4,4,pearson,-0.005869463172499054,878
CS2_35,HF4,4,spearman,0.13758426257801645,878
CS2_35,HF5,4,pearson,0.050519592651533114,878
CS2_35,HF5,4,spearman,0.20806093408570742,878
CS2_35,HF6,4,pearson,0.059811249825887855,878
CS2_35,HF6,4,spearman,0.20510435557073625,878
CS2_35,HF7,4,pearson,-0.0732140103842712,878
CS2_35,HF7,4,spearman,-0.09938331697595489,878
CS2_35,HF8,4,pearson,0.08587772863531518,878
CS2_35,HF8,4,spearman,0.06317949950347725,878
CS2_35,HF1,8,pearson,-0.15669072199017758,874
CS2_35,HF1,8,spearman,-0.16643858627381314,874
CS2_35,HF2,8,pearson,0.11900639714146537,874
CS2_35,HF2,8,spearman,0.14124352469152496,874
CS2_35,HF3,8,pearson,-0.1049555627853619,874
CS2_35,HF3,8,spearman,-0.19221881272826088,874
CS2_35,HF4,8,pearson,-0.025141981918495624,874
CS2_35,HF4,8,spearman,0.18679774839763288,874
CS2_35,HF5,8,pearson,-0.014410223293840837,874
CS2_35,HF5,8,spearman,0.20272346731291951,874
CS2_35,HF6,8,pearson,0.04411241998442271,874
CS2_35,HF6,8,spearman,0.22146203783156798,874
CS2_35,HF7,8,pearson,-0.1562025545729473,874
CS2_35,HF7,8,spearman,-0.16571718112692124,874
CS2_35,HF8,8,pearson,0.1406316026596848,874
