feature,horizon,metric,mean,median,std,count
HF1,1,pearson,0.9731914447208172,0.9728387689524933,0.006848702114342576,4
HF1,1,spearman,0.9713561629573735,0.9709702947424473,0.0048776393309436575,4
HF1,4,pearson,0.9709700869508788,0.970588967233528,0.007736801368761056,4
HF1,4,spearman,0.9657989453203413,0.9657095004148277,0.006678792442267995,4
HF1,8,pearson,0.9719080353076901,0.9725625783643497,0.006433060720641031,4
HF1,8,spearman,0.966929869452545,0.9674086434496796,0.007007851651770154,4
HF1,12,pearson,0.9689283567158238,0.968265049795267,0.007130903142765579,4
HF1,12,spearman,0.9609540079792956,0.9614986915038991,0.009821604723454506,4
HF1,16,pearson,0.9675320369934344,0.9663634872890406,0.007011173493032445,4
HF1,16,spearman,0.959962833148331,0.9613461932028811,0.01013896892098416,4
HF1,24,pearson,0.9659123808678103,0.9635832107951079,0.006834768640791719,4
HF1,24,spearman,0.9588733527896777,0.9610320609506382,0.010521881293159702,4
HF1,32,pearson,0.9620474460177149,0.9602736473055229,0.007853769597012557,4
HF1,32,spearman,0.9552778962028847,0.9570856121707272,0.01264502340425401,4
HF1,48,pearson,0.9587355754201128,0.9558818940947991,0.007577626722764677,4
HF1,48,spearman,0.9579925734665924,0.9600824041538447,0.011506353569721269,4
HF1,64,pearson,0.9527496826031486,0.9489467817103644,0.009607462934898111,4
HF1,64,spearman,0.9492995065755909,0.9541021399765762,0.017798556124928172,4
HF2,1,pearson,-0.641649208186144,-0.6152044826961891,0.13427475230736735,4
HF2,1,spearman,-0.7459471884494899,-0.726960473674386,0.11048446344133117,4
HF2,4,pearson,-0.65094255291899,-0.6220769205539181,0.12686844488189483,4
HF2,4,spearman,-0.7461425984705811,-0.7350210665983468,0.1074650935655858,4
HF2,8,pearson,-0.6625905377904703,-0.6374379663924075,0.11677129704121432,4
HF2,8,spearman,-0.754658498341123,-0.7501342861776765,0.10768114377673571,4
HF2,12,pearson,-0.677758112772275,-0.6513817621860554,0.10772887038925447,4
HF2,12,spearman,-0.757045536723785,-0.7653503555165608,0.10432729610343602,4
HF2,16,pearson,-0.6944854264803233,-0.6652727969301329,0.09755054892020154,4
HF2,16,spearman,-0.7667823009181945,-0.7832626885877048,0.1059471504512434,4
HF2,24,pearson,-0.7146645507997775,-0.6853955736994792,0.08094953513751031,4
HF2,24,spearman,-0.7766561615204178,-0.8098105653602472,0.11124675398227296,4
HF2,32,pearson,-0.7405986096477963,-0.7110017856278448,0.06823206601601613,4
