battery,feature,horizon,metric,value,n
CS2_35,SOH,1,pearson,0.9865268644591082,881
CS2_35,HF1,1,pearson,0.9780734664253546,881
CS2_35,HF2,1,pearson,-0.8138370944966398,881
CS2_35,HF3,1,pearson,0.39737432895685554,881
CS2_35,HF4,1,pearson,0.9404202463263432,881
CS2_35,HF5,1,pearson,0.8857833181576842,881
CS2_35,HF6,1,pearson,0.7943986542255761,881
CS2_35,HF7,1,pearson,0.9780277736111294,881
CS2_35,HF8,1,pearson,-0.8271052356241085,881
CS2_35,SOH,4,pearson,0.984776962023213,878
CS2_35,HF1,4,pearson,0.9757854336027583,878
CS2_35,HF2,4,pearson,-0.8167451031963919,878
CS2_35,HF3,4,pearson,0.39573675070856057,878
CS2_35,HF4,4,pearson,0.925972882369642,878
CS2_35,HF5,4,pearson,0.853516709917789,878
CS2_35,HF6,4,pearson,0.77265664987213,878
CS2_35,HF7,4,pearson,0.9757526891149841,878
CS2_35,HF8,4,pearson,-0.8277457016294149,878
CS2_35,SOH,8,pearson,0.9835026500079979,874
CS2_35,HF1,8,pearson,0.9744733299460584,874
CS2_35,HF2,8,pearson,-0.8180489697685879,874
CS2_35,HF3,8,pearson,0.3867431422154496,874
CS2_35,HF4,8,pearson,0.9270287345977335,874
CS2_35,HF5,8,pearson,0.871204406915123,874
CS2_35,HF6,8,pearson,0.7720573120382888,874
CS2_35,HF7,8,pearson,0.9744579524990572,874
CS2_35,HF8,8,pearson,-0.8274896531578703,874
CS2_35,SOH,12,pearson,0.9820493815849383,870
CS2_35,HF1,12,pearson,0.9712833752474396,870
CS2_35,HF2,12,pearson,-0.8247584026362499,870
CS2_35,HF3,12,pearson,0.37909580498342355,870
CS2_35,HF4,12,pearson,0.9119433458958541,870
CS2_35,HF5,12,pearson,0.8308512333580186,870
CS2_35,HF6,12,pearson,0.7434961248706263,870
CS2_35,HF7,12,pearson,0.971236056121655,870
CS2_35,HF8,12,pearson,-0.8308938267945117,870
CS2_35,SOH,16,pearson,0.9795637345184685,866
CS2_35,HF1,16,pearson,0.9694921179876232,866
CS2_35,HF2,16,pearson,-0.8317767015088219,866
CS2_35,HF3,16,pearson,0.36852347521535816,866
CS2_35,HF4,16,pearson,0.9077116996695817,866
CS2_35,HF5,16,pearson,0.8371565944378575,866
CS2_35,HF6,16,pearson,0.7417237005035501,866
CS2_35,HF7,16,pearson,0.9694590546653776,866
CS2_35,HF8,16,pearson,-0.8363400914061585,866
CS2_35,SOH,24,pearson,0.9767807979919021,858
CS2_35,HF1,24,pearson,0.9659392782902434,858
CS2_35,HF2,24,pearson,-0.8331334245574481,858
CS2_35,HF3,24,pearson,0.34702388834944675,858
CS2_35,HF4,24,pearson,0.9038863626114815,858
CS2_35,HF5,24,pearson,0.8262514679616951,858
CS2_35,HF6,24,pearson,0.7232660194843925,858
CS2_35,HF7,24,pearson,0.9659362343433511,858
CS2_35,HF8,24,pearson,-0.8359345228403615,858
CS2_35,SOH,32,pearson,0.9740720171856702,850
CS2_35,HF1,32,pearson,0.962095045183571,850
CS2_35,HF2,32,pearson,-0.8419278349636582,850
CS2_35,HF3,32,pearson,0.330032916058487,850
CS2_35,HF4,32,pearson,0.8993654474734909,850
CS2_35,HF5,32,pearson,0.8253809859115343,850
CS2_35,HF6,32,pearson,0.7117010899191444,850
CS2_35,HF7,32,pearson,0.9621056498199629,850
CS2_35,HF8,32,pearson,-0.8429352206473882,850
CS2_35,SOH,48,pearson,0.9680607231373509,834
CS2_35,HF1,48,pearson,0.9573608075158582,834
CS2_35,HF2,48,pearson,-0.8500496137434158,834
CS2_35,HF3,48,pearson,0.2944411778767992,834
CS2_35,HF4,48,pearson,0.8881968286870455,834
CS2_35,HF5,48,pearson,0.801041809768244,834
CS2_35,HF6,48,pearson,0.6863360187646163,834
CS2_35,HF7,48,pearson,0.9573897244144833,834
CS2_35,HF8,48,pearson,-0.8535722564767583,834
CS2_35,SOH,64,pearson,0.9648176876905873,818
CS2_35,HF1,64,pearson,0.9468413065929732,818
CS2_35,HF2,64,pearson,-0.8718741866869916,818
CS2_35,HF3,64,pearson,0.267872274334344,818
CS2_35,HF4,64,pearson,0.874269973990739,818
CS2_35,HF5,64,pearson,0.7782398527084338,818
CS2_35,HF6,64,pearson,0.65559496513512,818
CS2_35,HF7,64,pearson,0.9469896760611434,818
CS2_35,HF8,64,pearson,-0.882706349803652,818
CS2_36,SOH,1,pearson,0.965805119973654,972
CS2_36,HF1,1,pearson,0.9670091175856227,972
CS2_36,HF2,1,pearson,-0.5488354558661452,972
CS2_36,HF3,1,pearson,0.22999723044055082,972
CS2_36,HF4,1,pearson,0.8431729678516331,972
