battery,feature,horizon,metric,value,rmse,alpha,n_test
CS2_35,SOH_only,1,MAE,0.01352097253603253,0.03160358809523161,0.1,881
CS2_35,HF_only,1,MAE,0.011993901243781236,0.032760877659165036,10.0,881
CS2_35,SOH_plus_HF,1,MAE,0.01153763075690224,0.030365174644418756,10.0,881
CS2_36,SOH_only,1,MAE,0.01683857583473345,0.06390890655550172,1.0,972
CS2_36,HF_only,1,MAE,0.014247336207211423,0.05302505420898912,10.0,972
CS2_36,SOH_plus_HF,1,MAE,0.013664975878850905,0.052020028986417395,10.0,972
CS2_37,SOH_only,1,MAE,0.015170305201363305,0.05042089537782795,1.0,1037
CS2_37,HF_only,1,MAE,0.012260786018793407,0.039479650202939504,10.0,1037
CS2_37,SOH_plus_HF,1,MAE,0.012977531332805345,0.0392991808221957,100.0,1037
CS2_38,SOH_only,1,MAE,0.01626825754246535,0.05929766346989946,0.1,1027
CS2_38,HF_only,1,MAE,0.013422321932170907,0.04484294054223218,0.01,1027
CS2_38,SOH_plus_HF,1,MAE,0.013753215290987334,0.045045082378128626,100.0,1027
CS2_35,SOH_only,4,MAE,0.01639196635194946,0.03382079569998561,1.0,878
CS2_35,HF_only,4,MAE,0.014422206928943674,0.03460194129590065,10.0,878
CS2_35,SOH_plus_HF,4,MAE,0.014046490107699894,0.03222049709422333,10.0,878
CS2_36,SOH_only,4,MAE,0.019609999569028803,0.06559880217085268,1.0,969
CS2_36,HF_only,4,MAE,0.016706883254253884,0.05405515651423845,10.0,969
CS2_36,SOH_plus_HF,4,MAE,0.017221899118543074,0.05342899004011592,100.0,969
CS2_37,SOH_only,4,MAE,0.017611796056379907,0.050295629234737904,1.0,1034
CS2_37,HF_only,4,MAE,0.015022190892161358,0.04095264676625475,10.0,1034
CS2_37,SOH_plus_HF,4,MAE,0.015546250220222093,0.040062125823912796,100.0,1034
CS2_38,SOH_only,4,MAE,0.01927122669493544,0.06016747595388159,0.1,1024
CS2_38,HF_only,4,MAE,0.014844539509803235,0.044811078406463305,0.1,1024
CS2_38,SOH_plus_HF,4,MAE,0.016150132255265227,0.0458300323553828,100.0,1024
CS2_35,SOH_only,8,MAE,0.01785789249432218,0.03558396691798184,1.0,874
CS2_35,HF_only,8,MAE,0.016498224039331932,0.035637454887721735,0.01,874
CS2_35,SOH_plus_HF,8,MAE,0.016191605431167922,0.03400292488460931,0.01,874
CS2_36,SOH_only,8,MAE,0.020505313732861543,0.06636054398023059,1.0,965
CS2_36,HF_only,8,MAE,0.0178482212419528,0.05365196465469341,0.1,965
CS2_36,SOH_plus_HF,8,MAE,0.017489886150278623,0.05281090094977815,0.01,965
CS2_37,SOH_only,8,MAE,0.01810470771742875,0.05296109058259288,1.0,1030
CS2_37,HF_only,8,MAE,0.015454274256302723,0.04065757776436352,0.1,1030
CS2_37,SOH_plus_HF,8,MAE,0.015611949786364763,0.04084879812213485,100.0,1030
CS2_38,SOH_only,8,MAE,0.019390051660302582,0.0585688000676478,0.1,1020
CS2_38,HF_only,8,MAE,0.015326259607741349,0.04409100033510978,0.1,1020
CS2_38,SOH_plus_HF,8,MAE,0.016025040643477206,0.0446151334108389,100.0,1020
CS2_35,SOH_only,12,MAE,0.020646646408301775,0.037234116229484325,1.0,870
CS2_35,HF_only,12,MAE,0.018209953008858797,0.03812111811034716,10.0,870
CS2_35,SOH_plus_HF,12,MAE,0.017871592952862315,0.036073019462826164,10.0,870
CS2_36,SOH_only,12,MAE,0.0229730483799453,0.06834123120546234,1.0,961
CS2_36,HF_only,12,MAE,0.01893399810050139,0.05363591839462737,10.0,961
CS2_36,SOH_plus_HF,12,MAE,0.01892416187467394,0.05354555473211359,100.0,961
CS2_37,SOH_only,12,MAE,0.020473119935055812,0.054009636826405805,1.0,1026
CS2_37,HF_only,12,MAE,0.01779679711840586,0.04255627850030488,10.0,1026
CS2_37,SOH_plus_HF,12,MAE,0.017390490972107774,0.04159508266011993,10.0,1026
CS2_38,SOH_only,12,MAE,0.022221802307772834,0.0617061911813555,0.1,1016
CS2_38,HF_only,12,MAE,0.017558088133367213,0.046140809463978284,0.01,1016
CS2_38,SOH_plus_HF,12,MAE,0.017950094550111383,0.046645303709021306,100.0,1016
CS2_35,SOH_only,16,MAE,0.022577198322399045,0.0391643498453502,1.0,866
CS2_35,HF_only,16,MAE,0.020252824569933332,0.03946371965287605,10.0,866
CS2_35,SOH_plus_HF,16,MAE,0.019902286752120798,0.03718176034253861,10.0,866
CS2_36,SOH_only,16,MAE,0.024155875885233775,0.06897542082763491,1.0,957
CS2_36,HF_only,16,MAE,0.020846401721063022,0.05600369472401712,10.0,957
CS2_36,SOH_plus_HF,16,MAE,0.02074975801360977,0.055376394302263654,100.0,957
CS2_37,SOH_only,16,MAE,0.021263768222348593,0.05316592091099618,1.0,1022
CS2_37,HF_only,16,MAE,0.019414366954201175,0.04398054143495166,10.0,1022
CS2_37,SOH_plus_HF,16,MAE,0.019078964048942118,0.04281669424003154,100.0,1022
CS2_38,SOH_only,16,MAE,0.023125237598714626,0.06242954855667906,1.0,1012
CS2_38,HF_only,16,MAE,0.01858507388099198,0.04651904385464504,0.01,1012
CS2_38,SOH_plus_HF,16,MAE,0.019216902194866846,0.0472369548470136,100.0,1012
CS2_35,SOH_only,24,MAE,0.02542093137151989,0.04199130062885421,1.0,858
CS2_35,HF_only,24,MAE,0.022716485465715464,0.043232439455168394,10.0,858
CS2_35,SOH_plus_HF,24,MAE,0.022339802636312595,0.040873035668323544,10.0,858
CS2_36,SOH_only,24,MAE,0.02604183238547655,0.07074634428228814,1.0,949
CS2_36,HF_only,24,MAE,0.02360244249133181,0.05793650244860734,10.0,949
CS2_36,SOH_plus_HF,24,MAE,0.023193427331154922,0.05689937470134711,100.0,949
CS2_37,SOH_only,24,MAE,0.02429049891799908,0.0568208951418488,1.0,1014
CS2_37,HF_only,24,MAE,0.021860358080695606,0.044489793990029676,10.0,1014
CS2_37,SOH_plus_HF,24,MAE,0.02152082871895119,0.04421200536498798,100.0,1014
CS2_38,SOH_only,24,MAE,0.025527146257326834,0.06360800940917376,1.0,1004
CS2_38,HF_only,24,MAE,0.0206457116100781,0.04797399267845869,0.01,1004
CS2_38,SOH_plus_HF,24,MAE,0.021154688503259453,0.04818755089158176,100.0,1004
CS2_35,SOH_only,32,MAE,0.028052845670685743,0.044783513625338216,1.0,850
CS2_35,HF_only,32,MAE,0.025024267763956977,0.0441501529745704,10.0,850
CS2_35,SOH_plus_HF,32,MAE,0.024644959861346457,0.04211962758889873,10.0,850
CS2_36,SOH_only,32,MAE,0.02845754623318044,0.07371266700184902,1.0,941
CS2_36,HF_only,32,MAE,0.02530235702355061,0.0594756207231668,10.0,941
CS2_36,SOH_plus_HF,32,MAE,0.025016442089995643,0.058656434481741446,100.0,941
CS2_37,SOH_only,32,MAE,0.026971767517993638,0.059555341693870965,1.0,1006
CS2_37,HF_only,32,MAE,0.02450283208982835,0.04711385078180037,10.0,1006
CS2_37,SOH_plus_HF,32,MAE,0.024196978560388157,0.04679686880624847,100.0,1006
CS2_38,SOH_only,32,MAE,0.027942032985401342,0.06584123864368203,1.0,996
CS2_38,HF_only,32,MAE,0.022514258233189997,0.04936061072148025,0.01,996
CS2_38,SOH_plus_HF,32,MAE,0.02349429060090069,0.05005697129494932,100.0,996
CS2_35,SOH_only,48,MAE,0.031668401384740204,0.04985424941807034,1.0,834
CS2_35,HF_only,48,MAE,0.027359889132723338,0.046608551699920564,10.0,834
CS2_35,SOH_plus_HF,48,MAE,0.027052765781621742,0.04463000111853453,10.0,834
CS2_36,SOH_only,48,MAE,0.029726730642792958,0.07774449772566527,1.0,925
CS2_36,HF_only,48,MAE,0.027188752287930912,0.06246585324381775,10.0,925
CS2_36,SOH_plus_HF,48,MAE,0.02745566825426307,0.06174434481555581,10.0,925
CS2_37,SOH_only,48,MAE,0.02903684085256055,0.06099320495556835,1.0,990
CS2_37,HF_only,48,MAE,0.026371446589890164,0.04751358560247772,10.0,990
CS2_37,SOH_plus_HF,48,MAE,0.02581276304410887,0.04626276084511308,10.0,990
CS2_38,SOH_only,48,MAE,0.030957566875719614,0.06957463299248239,1.0,980
CS2_38,HF_only,48,MAE,0.024213971367275256,0.05032461478492662,0.01,980
CS2_38,SOH_plus_HF,48,MAE,0.024372733922112,0.050925852826423784,0.01,980
CS2_35,SOH_only,64,MAE,0.034493277122691485,0.049143649040283295,1.0,818
CS2_35,HF_only,64,MAE,0.03068600519721909,0.0476850217451288,0.01,818
CS2_35,SOH_plus_HF,64,MAE,0.030321645545588846,0.04647174108307087,0.01,818
CS2_36,SOH_only,64,MAE,0.03211007647185611,0.08148687279930134,1.0,909
CS2_36,HF_only,64,MAE,0.0303270376977948,0.06452192602157841,10.0,909
CS2_36,SOH_plus_HF,64,MAE,0.030340439041969924,0.06356987761049981,10.0,909
CS2_37,SOH_only,64,MAE,0.03177776369845762,0.06155286619190884,1.0,974
CS2_37,HF_only,64,MAE,0.027211060922791314,0.04512997550776495,0.1,974
CS2_37,SOH_plus_HF,64,MAE,0.02681669881760443,0.04504497446968862,0.01,974
CS2_38,SOH_only,64,MAE,0.03346055817083259,0.06987491363646167,1.0,964
CS2_38,HF_only,64,MAE,0.028353490706921926,0.05210822394089086,0.01,964
CS2_38,SOH_plus_HF,64,MAE,0.02812739623447391,0.05285873384148753,0.01,964
