battery,file,status,rows,first_time,last_time,local_cycles
CS2_35,CS2_35_10_15_10.xlsx,ok,17139,2010-10-08 14:29:45,2010-10-15 10:03:54,50
CS2_35,CS2_35_10_22_10.xlsx,ok,16629,2010-10-15 17:12:56,2010-10-22 10:41:09,50
CS2_35,CS2_35_10_29_10.xlsx,ok,16334,2010-10-22 13:23:55,2010-10-29 04:44:14,50
CS2_35,CS2_35_11_01_10.xlsx,ok,3248,2010-10-29 09:58:03,2010-10-30 17:54:37,10
CS2_35,CS2_35_11_08_10.xlsx,ok,16506,2010-11-01 14:23:58,2010-11-08 05:55:51,50
CS2_35,CS2_35_11_23_10.xlsx,ok,16433,2010-11-16 11:45:27,2010-11-23 02:33:49,50
CS2_35,CS2_35_11_24_10.xlsx,ok,2696,2010-11-23 12:25:25,2010-11-24 15:05:43,9
CS2_35,CS2_35_12_06_10.xlsx,ok,15428,2010-11-29 10:34:08,2010-12-05 20:21:50,50
CS2_35,CS2_35_12_13_10.xlsx,ok,15186,2010-12-06 12:33:56,2010-12-12 21:35:39,50
CS2_35,CS2_35_12_20_10.xlsx,ok,14658,2010-12-13 12:36:53,2010-12-19 17:34:39,50
CS2_35,CS2_35_12_23_10.xlsx,ok,7187,2010-12-20 12:10:10,2010-12-23 12:37:28,25
CS2_35,CS2_35_1_10_11.xlsx,ok,12695,2011-01-03 10:38:25,2011-01-09 02:13:19,50
CS2_35,CS2_35_1_18_11.xlsx,ok,11658,2011-01-10 11:47:49,2011-01-15 17:17:16,50
CS2_35,CS2_35_1_24_11.xlsx,ok,10227,2011-01-18 13:17:53,2011-01-23 12:30:50,50
CS2_35,CS2_35_1_28_11.xlsx,ok,6394,2011-01-24 10:54:44,2011-01-27 18:41:37,37
CS2_35,CS2_35_2_10_11.xlsx,ok,5983,2011-01-31 10:51:35,2011-02-03 18:10:51,50
CS2_35,CS2_35_2_4_11.xlsx,ok,5983,2011-01-31 10:51:35,2011-02-03 18:10:51,50
CS2_35,CS2_35_8_17_10.xlsx,ok,1091,2010-08-16 13:44:57,2010-08-16 17:24:02,1
CS2_35,CS2_35_8_18_10.xlsx,ok,383,2010-08-17 14:30:57,2010-08-17 18:06:57,1
CS2_35,CS2_35_8_19_10.xlsx,ok,383,2010-08-18 10:59:23,2010-08-18 14:35:03,1
CS2_35,CS2_35_8_30_10.xlsx,ok,18413,2010-08-19 14:21:41,2010-08-26 17:26:06,50
CS2_35,CS2_35_9_21_10.xlsx,ok,17314,2010-09-14 13:57:43,2010-09-21 09:08:16,50
CS2_35,CS2_35_9_30_10.xlsx,ok,16961,2010-09-21 15:48:03,2010-09-28 07:30:12,50
