battery,feature,horizon,metric,value,n_effective,support_rule
CS2_35,SOH,1,pearson,0.9752279891405642,816,horizon_common
CS2_35,SOH,1,spearman,0.9614803965003864,816,horizon_common
CS2_35,HF1,1,pearson,0.9717993017839297,815,horizon_common
CS2_35,HF1,1,spearman,0.9678643186672778,815,horizon_common
CS2_35,HF2,1,pearson,-0.9062670954955299,794,horizon_common
CS2_35,HF2,1,spearman,-0.9003103830250829,794,horizon_common
CS2_35,HF3,1,pearson,0.26970237822181026,793,horizon_common
CS2_35,HF3,1,spearman,0.8791371874330125,793,horizon_common
CS2_35,HF4,1,pearson,0.9404202463263434,575,horizon_common
CS2_35,HF4,1,spearman,0.9515269151138718,575,horizon_common
CS2_35,HF5,1,pearson,0.8857833181576844,574,horizon_common
CS2_35,HF5,1,spearman,0.8809785285586587,574,horizon_common
CS2_35,HF6,1,pearson,0.7943986542255761,574,horizon_common
CS2_35,HF6,1,spearman,0.8595243007868469,574,horizon_common
CS2_35,HF7,1,pearson,0.9717729607294718,815,horizon_common
CS2_35,HF7,1,spearman,0.9672774974803202,815,horizon_common
CS2_35,HF8,1,pearson,-0.9183240770566315,794,horizon_common
CS2_35,HF8,1,spearman,-0.9159862995122172,794,horizon_common
CS2_35,SOH,4,pearson,0.9729998256796397,816,horizon_common
CS2_35,SOH,4,spearman,0.9527783605952013,816,horizon_common
CS2_35,HF1,4,pearson,0.9695413384938851,815,horizon_common
CS2_35,HF1,4,spearman,0.9609857314747245,815,horizon_common
CS2_35,HF2,4,pearson,-0.9015455252012154,794,horizon_common
CS2_35,HF2,4,spearman,-0.888590179996264,794,horizon_common
CS2_35,HF3,4,pearson,0.27199455053959504,793,horizon_common
CS2_35,HF3,4,spearman,0.8541164036167544,793,horizon_common
CS2_35,HF4,4,pearson,0.925972882369642,574,horizon_common
CS2_35,HF4,4,spearman,0.9257564497208497,574,horizon_common
CS2_35,HF5,4,pearson,0.853516709917789,573,horizon_common
CS2_35,HF5,4,spearman,0.8302378250022229,573,horizon_common
CS2_35,HF6,4,pearson,0.77265664987213,573,horizon_common
CS2_35,HF6,4,spearman,0.8302663131632538,573,horizon_common
CS2_35,HF7,4,pearson,0.9694935236617631,815,horizon_common
CS2_35,HF7,4,spearman,0.9602985332766166,815,horizon_common
CS2_35,HF8,4,pearson,-0.913952678530852,794,horizon_common
CS2_35,HF8,4,spearman,-0.9043156412644032,794,horizon_common
CS2_35,SOH,8,pearson,0.9730322438143095,816,horizon_common
CS2_35,SOH,8,spearman,0.9531165812023199,816,horizon_common
CS2_35,HF1,8,pearson,0.9692472208115297,815,horizon_common
CS2_35,HF1,8,spearman,0.9584387083845763,815,horizon_common
CS2_35,HF2,8,pearson,-0.894827272842739,794,horizon_common
CS2_35,HF2,8,spearman,-0.8926129031813406,794,horizon_common
CS2_35,HF3,8,pearson,0.27160559783079663,793,horizon_common
CS2_35,HF3,8,spearman,0.872763146888761,793,horizon_common
CS2_35,HF4,8,pearson,0.9270287345977336,574,horizon_common
CS2_35,HF4,8,spearman,0.9299481674599516,574,horizon_common
CS2_35,HF5,8,pearson,0.871204406915123,573,horizon_common
CS2_35,HF5,8,spearman,0.8537660781307825,573,horizon_common
CS2_35,HF6,8,pearson,0.7720573120382886,573,horizon_common
CS2_35,HF6,8,spearman,0.8428734526179438,573,horizon_common
CS2_35,HF7,8,pearson,0.9691951064477519,815,horizon_common
CS2_35,HF7,8,spearman,0.9578399205431276,815,horizon_common
CS2_35,HF8,8,pearson,-0.9093749013793977,794,horizon_common
CS2_35,HF8,8,spearman,-0.9080454075873419,794,horizon_common
CS2_35,SOH,12,pearson,0.971829419359536,816,horizon_common
CS2_35,SOH,12,spearman,0.9438540982469688,816,horizon_common
CS2_35,HF1,12,pearson,0.9652907181406726,815,horizon_common
CS2_35,HF1,12,spearman,0.9479428700377817,815,horizon_common
CS2_35,HF2,12,pearson,-0.8918512771029828,794,horizon_common
CS2_35,HF2,12,spearman,-0.875187439547109,794,horizon_common
CS2_35,HF3,12,pearson,0.2717670426175798,793,horizon_common
CS2_35,HF3,12,spearman,0.8390336625151011,793,horizon_common
CS2_35,HF4,12,pearson,0.9119433458958541,574,horizon_common
CS2_35,HF4,12,spearman,0.8974603086475077,574,horizon_common
CS2_35,HF5,12,pearson,0.8308512333580186,573,horizon_common
CS2_35,HF5,12,spearman,0.7930071460910434,573,horizon_common
CS2_35,HF6,12,pearson,0.7434961248706264,573,horizon_common
CS2_35,HF6,12,spearman,0.8014262390079562,573,horizon_common
CS2_35,HF7,12,pearson,0.9651568442801988,815,horizon_common
CS2_35,HF7,12,spearman,0.9474593932392118,815,horizon_common
CS2_35,HF8,12,pearson,-0.9054396051710085,794,horizon_common
CS2_35,HF8,12,spearman,-0.8912075521126672,794,horizon_common
CS2_35,SOH,16,pearson,0.9690895500443966,815,horizon_common
CS2_35,SOH,16,spearman,0.9400393200194715,815,horizon_common
CS2_35,HF1,16,pearson,0.964175952748982,814,horizon_common
CS2_35,HF1,16,spearman,0.9452175612182856,814,horizon_common
CS2_35,HF2,16,pearson,-0.8892992007691765,793,horizon_common
CS2_35,HF2,16,spearman,-0.8774196650275438,793,horizon_common
CS2_35,HF3,16,pearson,0.2680238876086175,792,horizon_common
CS2_35,HF3,16,spearman,0.8546490261998747,792,horizon_common
CS2_35,HF4,16,pearson,0.9077116996695819,574,horizon_common
CS2_35,HF4,16,spearman,0.8938832526564671,574,horizon_common
CS2_35,HF5,16,pearson,0.8371565944378578,573,horizon_common
CS2_35,HF5,16,spearman,0.8072481088060196,573,horizon_common
CS2_35,HF6,16,pearson,0.7417237005035502,573,horizon_common
CS2_35,HF6,16,spearman,0.812293791332859,573,horizon_common
CS2_35,HF7,16,pearson,0.9640221384178203,814,horizon_common
CS2_35,HF7,16,spearman,0.9445848930146177,814,horizon_common
CS2_35,HF8,16,pearson,-0.9034620803510104,793,horizon_common
CS2_35,HF8,16,spearman,-0.8936737999546005,793,horizon_common
CS2_35,SOH,24,pearson,0.9688597935211534,815,horizon_common
CS2_35,SOH,24,spearman,0.9377994000693386,815,horizon_common
CS2_35,HF1,24,pearson,0.9627627925869054,814,horizon_common
CS2_35,HF1,24,spearman,0.9432015654776165,814,horizon_common
CS2_35,HF2,24,pearson,-0.8860687007353952,793,horizon_common
CS2_35,HF2,24,spearman,-0.872186267848406,793,horizon_common
CS2_35,HF3,24,pearson,0.2687837828245988,792,horizon_common
CS2_35,HF3,24,spearman,0.8450753270135252,792,horizon_common
CS2_35,HF4,24,pearson,0.9038863626114815,574,horizon_common
CS2_35,HF4,24,spearman,0.8825860273431518,574,horizon_common
CS2_35,HF5,24,pearson,0.826251467961695,573,horizon_common
CS2_35,HF5,24,spearman,0.7858847192904145,573,horizon_common
CS2_35,HF6,24,pearson,0.7232660194843927,573,horizon_common
CS2_35,HF6,24,spearman,0.7959007182164234,573,horizon_common
CS2_35,HF7,24,pearson,0.9624811531719876,814,horizon_common
CS2_35,HF7,24,spearman,0.9425349029357409,814,horizon_common
CS2_35,HF8,24,pearson,-0.8995939773009042,793,horizon_common
CS2_35,HF8,24,spearman,-0.8890100298214031,793,horizon_common
CS2_35,SOH,32,pearson,0.9665999395899975,815,horizon_common
CS2_35,SOH,32,spearman,0.9355243895842957,815,horizon_common
CS2_35,HF1,32,pearson,0.9614775241605934,814,horizon_common
CS2_35,HF1,32,spearman,0.9392254855003592,814,horizon_common
CS2_35,HF2,32,pearson,-0.8826293738686115,793,horizon_common
CS2_35,HF2,32,spearman,-0.8730726541768371,793,horizon_common
CS2_35,HF3,32,pearson,0.2681255191861932,792,horizon_common
CS2_35,HF3,32,spearman,0.8430774941002707,792,horizon_common
CS2_35,HF4,32,pearson,0.899365447473491,574,horizon_common
CS2_35,HF4,32,spearman,0.8744063369741694,574,horizon_common
CS2_35,HF5,32,pearson,0.8253809859115345,573,horizon_common
CS2_35,HF5,32,spearman,0.7805475714427316,573,horizon_common
CS2_35,HF6,32,pearson,0.7117010899191446,573,horizon_common
CS2_35,HF6,32,spearman,0.7894081755186675,573,horizon_common
CS2_35,HF7,32,pearson,0.9611207289346084,814,horizon_common
CS2_35,HF7,32,spearman,0.938555736349955,814,horizon_common
CS2_35,HF8,32,pearson,-0.89616052759856,793,horizon_common
CS2_35,HF8,32,spearman,-0.8900000566722918,793,horizon_common
CS2_35,SOH,48,pearson,0.9632405156702338,815,horizon_common
CS2_35,SOH,48,spearman,0.928715761790464,815,horizon_common
CS2_35,HF1,48,pearson,0.9593050807869472,814,horizon_common
CS2_35,HF1,48,spearman,0.9417523828996901,814,horizon_common
CS2_35,HF2,48,pearson,-0.8782484830218718,793,horizon_common
CS2_35,HF2,48,spearman,-0.8743769547543756,793,horizon_common
CS2_35,HF3,48,pearson,0.2691885768395757,792,horizon_common
CS2_35,HF3,48,spearman,0.836224972377591,792,horizon_common
