battery,horizon_1,horizon_2,metric,value
CS2_35,1,1,kendall_tau,0.9999999999999998
CS2_35,1,4,kendall_tau,0.7142857142857142
CS2_35,1,8,kendall_tau,0.7857142857142856
CS2_35,1,12,kendall_tau,0.6428571428571428
CS2_35,1,16,kendall_tau,0.8571428571428571
CS2_35,1,24,kendall_tau,0.9285714285714285
CS2_35,1,32,kendall_tau,0.9999999999999998
CS2_35,1,48,kendall_tau,0.9999999999999998
CS2_35,1,64,kendall_tau,0.7142857142857142
CS2_35,4,1,kendall_tau,0.7142857142857142
CS2_35,4,4,kendall_tau,0.9999999999999998
CS2_35,4,8,kendall_tau,0.4999999999999999
CS2_35,4,12,kendall_tau,0.9285714285714285
CS2_35,4,16,kendall_tau,0.5714285714285714
CS2_35,4,24,kendall_tau,0.7857142857142856
CS2_35,4,32,kendall_tau,0.7142857142857142
CS2_35,4,48,kendall_tau,0.7142857142857142
CS2_35,4,64,kendall_tau,0.5714285714285714
CS2_35,8,1,kendall_tau,0.7857142857142856
CS2_35,8,4,kendall_tau,0.4999999999999999
CS2_35,8,8,kendall_tau,0.9999999999999998
CS2_35,8,12,kendall_tau,0.5714285714285714
CS2_35,8,16,kendall_tau,0.9285714285714285
CS2_35,8,24,kendall_tau,0.7142857142857142
CS2_35,8,32,kendall_tau,0.7857142857142856
CS2_35,8,48,kendall_tau,0.7857142857142856
CS2_35,8,64,kendall_tau,0.4999999999999999
CS2_35,12,1,kendall_tau,0.6428571428571428
CS2_35,12,4,kendall_tau,0.9285714285714285
CS2_35,12,8,kendall_tau,0.5714285714285714
CS2_35,12,12,kendall_tau,0.9999999999999998
CS2_35,12,16,kendall_tau,0.6428571428571428
CS2_35,12,24,kendall_tau,0.7142857142857142
CS2_35,12,32,kendall_tau,0.6428571428571428
CS2_35,12,48,kendall_tau,0.6428571428571428
CS2_35,12,64,kendall_tau,0.4999999999999999
CS2_35,16,1,kendall_tau,0.8571428571428571
CS2_35,16,4,kendall_tau,0.5714285714285714
CS2_35,16,8,kendall_tau,0.9285714285714285
