battery,horizon,support_rule,n_effective_min,n_effective_max,identical_hf_support
CS2_35,1,horizon_common,574,815,False
CS2_35,4,horizon_common,573,815,False
CS2_35,8,horizon_common,573,815,False
CS2_35,12,horizon_common,573,815,False
CS2_35,16,horizon_common,573,814,False
CS2_35,24,horizon_common,573,814,False
CS2_35,32,horizon_common,573,814,False
CS2_35,48,horizon_common,574,814,False
CS2_35,64,horizon_common,574,814,False
CS2_36,1,horizon_common,608,905,False
CS2_36,4,horizon_common,607,905,False
CS2_36,8,horizon_common,608,905,False
CS2_36,12,horizon_common,607,905,False
CS2_36,16,horizon_common,608,905,False
CS2_36,24,horizon_common,607,905,False
CS2_36,32,horizon_common,607,905,False
CS2_36,48,horizon_common,608,905,False
CS2_36,64,horizon_common,608,905,False
CS2_37,1,horizon_common,642,968,False
CS2_37,4,horizon_common,641,968,False
CS2_37,8,horizon_common,642,968,False
CS2_37,12,horizon_common,642,968,False
CS2_37,16,horizon_common,641,967,False
CS2_37,24,horizon_common,640,967,False
CS2_37,32,horizon_common,640,967,False
CS2_37,48,horizon_common,641,967,False
CS2_37,64,horizon_common,641,967,False
CS2_38,1,horizon_common,550,958,False
CS2_38,4,horizon_common,549,958,False
CS2_38,8,horizon_common,551,958,False
CS2_38,12,horizon_common,550,958,False
CS2_38,16,horizon_common,549,957,False
CS2_38,24,horizon_common,549,957,False
CS2_38,32,horizon_common,549,957,False
CS2_38,48,horizon_common,549,957,False
CS2_38,64,horizon_common,550,957,False
