battery,feature,horizon,metric,value,n_effective,support_rule,rank
CS2_35,HF1,1,pearson_partial_controlling_SOH,-0.0201185879417915,551,double_common,7.0
CS2_35,HF2,1,pearson_partial_controlling_SOH,0.08095897865243629,551,double_common,2.0
CS2_35,HF3,1,pearson_partial_controlling_SOH,-0.0028101189795356144,551,double_common,8.0
CS2_35,HF4,1,pearson_partial_controlling_SOH,-0.05063779613441327,551,double_common,4.0
CS2_35,HF5,1,pearson_partial_controlling_SOH,-0.027057270386101364,551,double_common,5.0
CS2_35,HF6,1,pearson_partial_controlling_SOH,-0.0905509585509707,551,double_common,1.0
CS2_35,HF7,1,pearson_partial_controlling_SOH,-0.02296141974879603,551,double_common,6.0
CS2_35,HF8,1,pearson_partial_controlling_SOH,0.06050551375103091,551,double_common,3.0
CS2_35,HF1,4,pearson_partial_controlling_SOH,-0.03137746580242156,551,double_common,7.0
CS2_35,HF2,4,pearson_partial_controlling_SOH,0.0881385685790651,551,double_common,4.0
CS2_35,HF3,4,pearson_partial_controlling_SOH,0.021606096504357658,551,double_common,8.0
CS2_35,HF4,4,pearson_partial_controlling_SOH,-0.09651919527106555,551,double_common,3.0
CS2_35,HF5,4,pearson_partial_controlling_SOH,-0.19013521561861302,551,double_common,1.0
CS2_35,HF6,4,pearson_partial_controlling_SOH,-0.13571795284203314,551,double_common,2.0
CS2_35,HF7,4,pearson_partial_controlling_SOH,-0.0342626179971707,551,double_common,6.0
CS2_35,HF8,4,pearson_partial_controlling_SOH,0.07278065375718223,551,double_common,5.0
CS2_35,HF1,8,pearson_partial_controlling_SOH,-0.043538429058738684,551,double_common,7.0
CS2_35,HF2,8,pearson_partial_controlling_SOH,0.09998159671537575,551,double_common,1.0
CS2_35,HF3,8,pearson_partial_controlling_SOH,0.014375726819618505,551,double_common,8.0
CS2_35,HF4,8,pearson_partial_controlling_SOH,0.07700346623449789,551,double_common,4.0
CS2_35,HF5,8,pearson_partial_controlling_SOH,-0.05641868579034187,551,double_common,5.0
CS2_35,HF6,8,pearson_partial_controlling_SOH,-0.08770887269144957,551,double_common,2.0
CS2_35,HF7,8,pearson_partial_controlling_SOH,-0.04730613269598827,551,double_common,6.0
CS2_35,HF8,8,pearson_partial_controlling_SOH,0.07809734189071638,551,double_common,3.0
CS2_35,HF1,12,pearson_partial_controlling_SOH,-0.048815163694332184,551,double_common,6.0
CS2_35,HF2,12,pearson_partial_controlling_SOH,0.1410603525684031,551,double_common,3.0
CS2_35,HF3,12,pearson_partial_controlling_SOH,0.022731774531200337,551,double_common,7.0
CS2_35,HF4,12,pearson_partial_controlling_SOH,-0.017177631650054932,551,double_common,8.0
CS2_35,HF5,12,pearson_partial_controlling_SOH,-0.23318792578491745,551,double_common,1.0
CS2_35,HF6,12,pearson_partial_controlling_SOH,-0.19037958748431058,551,double_common,2.0
CS2_35,HF7,12,pearson_partial_controlling_SOH,-0.05372819759038673,551,double_common,5.0
CS2_35,HF8,12,pearson_partial_controlling_SOH,0.10862366790400557,551,double_common,4.0
CS2_35,HF1,16,pearson_partial_controlling_SOH,-0.045132697498255464,551,double_common,7.0
CS2_35,HF2,16,pearson_partial_controlling_SOH,0.13475971382547147,551,double_common,2.0
CS2_35,HF3,16,pearson_partial_controlling_SOH,0.007884352442178577,551,double_common,8.0
CS2_35,HF4,16,pearson_partial_controlling_SOH,0.10520703919259844,551,double_common,4.0
CS2_35,HF5,16,pearson_partial_controlling_SOH,-0.1261286804777357,551,double_common,3.0
CS2_35,HF6,16,pearson_partial_controlling_SOH,-0.1464433364430656,551,double_common,1.0
CS2_35,HF7,16,pearson_partial_controlling_SOH,-0.049967562911576544,551,double_common,6.0
CS2_35,HF8,16,pearson_partial_controlling_SOH,0.09909413709947511,551,double_common,5.0
CS2_35,HF1,24,pearson_partial_controlling_SOH,-0.04769225778112572,551,double_common,7.0
CS2_35,HF2,24,pearson_partial_controlling_SOH,0.17398453508706035,551,double_common,3.0
CS2_35,HF3,24,pearson_partial_controlling_SOH,0.007203741180065556,551,double_common,8.0
CS2_35,HF4,24,pearson_partial_controlling_SOH,0.10550711351565113,551,double_common,5.0
CS2_35,HF5,24,pearson_partial_controlling_SOH,-0.18308311902191493,551,double_common,2.0
CS2_35,HF6,24,pearson_partial_controlling_SOH,-0.2096995710196529,551,double_common,1.0
CS2_35,HF7,24,pearson_partial_controlling_SOH,-0.05398830913071551,551,double_common,6.0
CS2_35,HF8,24,pearson_partial_controlling_SOH,0.13158883838483482,551,double_common,4.0
CS2_35,HF1,32,pearson_partial_controlling_SOH,-0.048391640105239844,551,double_common,7.0
CS2_35,HF2,32,pearson_partial_controlling_SOH,0.15908086299622845,551,double_common,2.0
CS2_35,HF3,32,pearson_partial_controlling_SOH,0.01110924221005313,551,double_common,8.0
CS2_35,HF4,32,pearson_partial_controlling_SOH,0.1568699481801242,551,double_common,3.0
CS2_35,HF5,32,pearson_partial_controlling_SOH,-0.14536760753098002,551,double_common,4.0
CS2_35,HF6,32,pearson_partial_controlling_SOH,-0.22867660355216107,551,double_common,1.0
CS2_35,HF7,32,pearson_partial_controlling_SOH,-0.05405578648944442,551,double_common,6.0
CS2_35,HF8,32,pearson_partial_controlling_SOH,0.10439836514116538,551,double_common,5.0
CS2_35,HF1,48,pearson_partial_controlling_SOH,-0.0453804023762826,551,double_common,7.0
CS2_35,HF2,48,pearson_partial_controlling_SOH,0.18882038540617715,551,double_common,3.0
CS2_35,HF3,48,pearson_partial_controlling_SOH,0.01708964577969235,551,double_common,8.0
CS2_35,HF4,48,pearson_partial_controlling_SOH,0.1789091778325736,551,double_common,4.0
CS2_35,HF5,48,pearson_partial_controlling_SOH,-0.21941351018078603,551,double_common,2.0
CS2_35,HF6,48,pearson_partial_controlling_SOH,-0.2798922347148487,551,double_common,1.0
CS2_35,HF7,48,pearson_partial_controlling_SOH,-0.05077387896557942,551,double_common,6.0
CS2_35,HF8,48,pearson_partial_controlling_SOH,0.11842097192292612,551,double_common,5.0
CS2_35,HF1,64,pearson_partial_controlling_SOH,-0.049565383339935286,551,double_common,7.0
CS2_35,HF2,64,pearson_partial_controlling_SOH,0.24539145145408017,551,double_common,3.0
CS2_35,HF3,64,pearson_partial_controlling_SOH,0.0028959025098643666,551,double_common,8.0
CS2_35,HF4,64,pearson_partial_controlling_SOH,0.18176988480316567,551,double_common,4.0
CS2_35,HF5,64,pearson_partial_controlling_SOH,-0.26974724129790906,551,double_common,2.0
CS2_35,HF6,64,pearson_partial_controlling_SOH,-0.3409136050958836,551,double_common,1.0
CS2_35,HF7,64,pearson_partial_controlling_SOH,-0.0577585150722634,551,double_common,6.0
CS2_35,HF8,64,pearson_partial_controlling_SOH,0.16162269526758918,551,double_common,5.0
CS2_36,HF1,1,pearson_partial_controlling_SOH,0.0020795240984993924,587,double_common,7.0
CS2_36,HF2,1,pearson_partial_controlling_SOH,-0.021453882994358752,587,double_common,5.0
CS2_36,HF3,1,pearson_partial_controlling_SOH,0.0007125726241142188,587,double_common,8.0
CS2_36,HF4,1,pearson_partial_controlling_SOH,-0.02269203345610084,587,double_common,4.0
CS2_36,HF5,1,pearson_partial_controlling_SOH,0.02989108039797472,587,double_common,2.0
CS2_36,HF6,1,pearson_partial_controlling_SOH,0.039992742723893755,587,double_common,1.0
CS2_36,HF7,1,pearson_partial_controlling_SOH,0.002318564188645097,587,double_common,6.0
CS2_36,HF8,1,pearson_partial_controlling_SOH,-0.026761911545343492,587,double_common,3.0
CS2_36,HF1,4,pearson_partial_controlling_SOH,-0.021019357827811957,587,double_common,7.0
CS2_36,HF2,4,pearson_partial_controlling_SOH,0.04959615005231906,587,double_common,3.0
CS2_36,HF3,4,pearson_partial_controlling_SOH,0.013112774847389853,587,double_common,8.0
CS2_36,HF4,4,pearson_partial_controlling_SOH,0.027824393304478844,587,double_common,5.0
CS2_36,HF5,4,pearson_partial_controlling_SOH,0.054215696393512945,587,double_common,1.0
CS2_36,HF6,4,pearson_partial_controlling_SOH,-0.0524378476845556,587,double_common,2.0
CS2_36,HF7,4,pearson_partial_controlling_SOH,-0.02250881128778945,587,double_common,6.0
CS2_36,HF8,4,pearson_partial_controlling_SOH,0.03756358182293084,587,double_common,4.0
CS2_36,HF1,8,pearson_partial_controlling_SOH,-0.0035839233331023176,587,double_common,8.0
CS2_36,HF2,8,pearson_partial_controlling_SOH,0.057392723504864976,587,double_common,2.0
CS2_36,HF3,8,pearson_partial_controlling_SOH,-0.004066505282257096,587,double_common,7.0
CS2_36,HF4,8,pearson_partial_controlling_SOH,-0.024850547614445773,587,double_common,4.0
CS2_36,HF5,8,pearson_partial_controlling_SOH,-0.020296261631769303,587,double_common,5.0
CS2_36,HF6,8,pearson_partial_controlling_SOH,-0.0683890112319646,587,double_common,1.0
CS2_36,HF7,8,pearson_partial_controlling_SOH,-0.004671757536643722,587,double_common,6.0
CS2_36,HF8,8,pearson_partial_controlling_SOH,0.048535883988483595,587,double_common,3.0
CS2_36,HF1,12,pearson_partial_controlling_SOH,-0.011735391112890212,587,double_common,7.0
CS2_36,HF2,12,pearson_partial_controlling_SOH,0.06603038506502777,587,double_common,2.0
CS2_36,HF3,12,pearson_partial_controlling_SOH,0.005920079414975974,587,double_common,8.0
CS2_36,HF4,12,pearson_partial_controlling_SOH,-0.02693796652806292,587,double_common,5.0
CS2_36,HF5,12,pearson_partial_controlling_SOH,-0.06000288238230479,587,double_common,3.0
CS2_36,HF6,12,pearson_partial_controlling_SOH,-0.11068646080707997,587,double_common,1.0
CS2_36,HF7,12,pearson_partial_controlling_SOH,-0.01234917550707074,587,double_common,6.0
CS2_36,HF8,12,pearson_partial_controlling_SOH,0.05817891602949943,587,double_common,4.0
CS2_36,HF1,16,pearson_partial_controlling_SOH,-0.0012884790628386103,587,double_common,8.0
CS2_36,HF2,16,pearson_partial_controlling_SOH,0.031148375967458404,587,double_common,3.0
CS2_36,HF3,16,pearson_partial_controlling_SOH,-0.0031484182451343313,587,double_common,5.0
CS2_36,HF4,16,pearson_partial_controlling_SOH,0.03234749649392272,587,double_common,2.0
CS2_36,HF5,16,pearson_partial_controlling_SOH,0.0018232424478128615,587,double_common,7.0
CS2_36,HF6,16,pearson_partial_controlling_SOH,-0.07094411824761386,587,double_common,1.0
CS2_36,HF7,16,pearson_partial_controlling_SOH,-0.0018977719133440904,587,double_common,6.0
CS2_36,HF8,16,pearson_partial_controlling_SOH,0.014742054268978642,587,double_common,4.0
CS2_36,HF1,24,pearson_partial_controlling_SOH,-0.014292482086950699,587,double_common,7.0
CS2_36,HF2,24,pearson_partial_controlling_SOH,0.11421987701271082,587,double_common,2.0
CS2_36,HF3,24,pearson_partial_controlling_SOH,0.0003875903184427169,587,double_common,8.0
CS2_36,HF4,24,pearson_partial_controlling_SOH,0.03911909346824994,587,double_common,5.0
CS2_36,HF5,24,pearson_partial_controlling_SOH,-0.07833102809823031,587,double_common,4.0
CS2_36,HF6,24,pearson_partial_controlling_SOH,-0.13748619447368635,587,double_common,1.0
CS2_36,HF7,24,pearson_partial_controlling_SOH,-0.016773682451405043,587,double_common,6.0
CS2_36,HF8,24,pearson_partial_controlling_SOH,0.09680411166880683,587,double_common,3.0
CS2_36,HF1,32,pearson_partial_controlling_SOH,-0.014042318007229736,587,double_common,7.0
CS2_36,HF2,32,pearson_partial_controlling_SOH,0.09895353092167232,587,double_common,2.0
CS2_36,HF3,32,pearson_partial_controlling_SOH,0.004215890675305484,587,double_common,8.0
CS2_36,HF4,32,pearson_partial_controlling_SOH,0.05007218869219591,587,double_common,5.0
CS2_36,HF5,32,pearson_partial_controlling_SOH,-0.06925932511039594,587,double_common,4.0
CS2_36,HF6,32,pearson_partial_controlling_SOH,-0.14398215194507422,587,double_common,1.0
CS2_36,HF7,32,pearson_partial_controlling_SOH,-0.016980995640126593,587,double_common,6.0
