battery,horizon,support_rule,n_effective_min,n_effective_max,identical_hf_support
CS2_35,1,double_common,551,551,True
CS2_35,4,double_common,551,551,True
CS2_35,8,double_common,551,551,True
CS2_35,12,double_common,551,551,True
CS2_35,16,double_common,551,551,True
CS2_35,24,double_common,551,551,True
CS2_35,32,double_common,551,551,True
CS2_35,48,double_common,551,551,True
CS2_35,64,double_common,551,551,True
CS2_36,1,double_common,587,587,True
CS2_36,4,double_common,587,587,True
CS2_36,8,double_common,587,587,True
CS2_36,12,double_common,587,587,True
CS2_36,16,double_common,587,587,True
CS2_36,24,double_common,587,587,True
CS2_36,32,double_common,587,587,True
CS2_36,48,double_common,587,587,True
CS2_36,64,double_common,587,587,True
CS2_37,1,double_common,616,616,True
CS2_37,4,double_common,616,616,True
CS2_37,8,double_common,616,616,True
CS2_37,12,double_common,616,616,True
CS2_37,16,double_common,616,616,True
CS2_37,24,double_common,616,616,True
CS2_37,32,double_common,616,616,True
CS2_37,48,double_common,616,616,True
CS2_37,64,double_common,616,616,True
CS2_38,1,double_common,528,528,True
CS2_38,4,double_common,528,528,True
CS2_38,8,double_common,528,528,True
CS2_38,12,double_common,528,528,True
CS2_38,16,double_common,528,528,True
CS2_38,24,double_common,528,528,True
CS2_38,32,double_common,528,528,True
CS2_38,48,double_common,528,528,True
CS2_38,64,double_common,528,528,True
