battery,feature,horizon,metric,value,n_effective,support_rule
CS2_35,SOH,1,pearson,0.9865268644591083,877,feature_common
CS2_35,SOH,1,spearman,0.968914777002805,877,feature_common
CS2_35,HF1,1,pearson,0.8491360207712637,573,feature_common
CS2_35,HF1,1,spearman,0.9312787837880417,573,feature_common
CS2_35,HF2,1,pearson,-0.7281101970103262,573,feature_common
CS2_35,HF2,1,spearman,-0.8019697707477046,573,feature_common
CS2_35,HF3,1,pearson,0.04841263924229141,573,feature_common
CS2_35,HF3,1,spearman,0.7530704514486918,573,feature_common
CS2_35,HF4,1,pearson,0.9400497779315324,573,feature_common
CS2_35,HF4,1,spearman,0.9514236242623423,573,feature_common
CS2_35,HF5,1,pearson,0.8851220637134446,573,feature_common
CS2_35,HF5,1,spearman,0.880431023452349,573,feature_common
CS2_35,HF6,1,pearson,0.7958463086127561,573,feature_common
CS2_35,HF6,1,spearman,0.8607947682185285,573,feature_common
CS2_35,HF7,1,pearson,0.850182237469837,573,feature_common
CS2_35,HF7,1,spearman,0.929831521268644,573,feature_common
CS2_35,HF8,1,pearson,-0.7775825923049129,573,feature_common
CS2_35,HF8,1,spearman,-0.832683474873457,573,feature_common
CS2_35,SOH,4,pearson,0.9847769620232131,874,feature_common
CS2_35,SOH,4,spearman,0.9615094212447298,874,feature_common
CS2_35,HF1,4,pearson,0.8355355284468624,572,feature_common
CS2_35,HF1,4,spearman,0.9144802712897633,572,feature_common
CS2_35,HF2,4,pearson,-0.7145945535984627,572,feature_common
CS2_35,HF2,4,spearman,-0.773826003449792,572,feature_common
CS2_35,HF3,4,pearson,0.05662399096849903,572,feature_common
CS2_35,HF3,4,spearman,0.6957525470284385,572,feature_common
CS2_35,HF4,4,pearson,0.9255545999736913,572,feature_common
CS2_35,HF4,4,spearman,0.9257072596121386,572,feature_common
CS2_35,HF5,4,pearson,0.852113318208542,572,feature_common
CS2_35,HF5,4,spearman,0.8293768746726267,572,feature_common
CS2_35,HF6,4,pearson,0.7749597090658037,572,feature_common
CS2_35,HF6,4,spearman,0.8316332176119233,572,feature_common
CS2_35,HF7,4,pearson,0.8365108265984117,572,feature_common
CS2_35,HF7,4,spearman,0.9128070672834057,572,feature_common
CS2_35,HF8,4,pearson,-0.7630042866907315,572,feature_common
CS2_35,HF8,4,spearman,-0.804860191238135,572,feature_common
CS2_35,SOH,8,pearson,0.9835026500079979,870,feature_common
