battery,horizon,support_rule,n_effective_min,n_effective_max,identical_hf_support
CS2_35,1,feature_common,573,573,True
CS2_35,4,feature_common,572,572,True
CS2_35,8,feature_common,572,572,True
CS2_35,12,feature_common,572,572,True
CS2_35,16,feature_common,572,572,True
CS2_35,24,feature_common,572,572,True
CS2_35,32,feature_common,572,572,True
CS2_35,48,feature_common,573,573,True
CS2_35,64,feature_common,573,573,True
CS2_36,1,feature_common,607,607,True
CS2_36,4,feature_common,606,606,True
CS2_36,8,feature_common,607,607,True
CS2_36,12,feature_common,606,606,True
CS2_36,16,feature_common,607,607,True
CS2_36,24,feature_common,606,606,True
CS2_36,32,feature_common,606,606,True
CS2_36,48,feature_common,607,607,True
CS2_36,64,feature_common,607,607,True
CS2_37,1,feature_common,640,640,True
CS2_37,4,feature_common,639,639,True
CS2_37,8,feature_common,640,640,True
CS2_37,12,feature_common,640,640,True
CS2_37,16,feature_common,639,639,True
CS2_37,24,feature_common,638,638,True
CS2_37,32,feature_common,638,638,True
CS2_37,48,feature_common,639,639,True
CS2_37,64,feature_common,639,639,True
CS2_38,1,feature_common,548,548,True
CS2_38,4,feature_common,547,547,True
CS2_38,8,feature_common,549,549,True
CS2_38,12,feature_common,548,548,True
CS2_38,16,feature_common,547,547,True
CS2_38,24,feature_common,547,547,True
CS2_38,32,feature_common,547,547,True
CS2_38,48,feature_common,547,547,True
CS2_38,64,feature_common,548,548,True
