battery,feature,horizon,metric,value,n_effective,support_rule
CS2_35,SOH,1,pearson,0.9865268644591083,877,pairwise
CS2_35,SOH,1,spearman,0.968914777002805,877,pairwise
CS2_35,HF1,1,pearson,0.9838544740130245,875,pairwise
CS2_35,HF1,1,spearman,0.9736046071103905,875,pairwise
CS2_35,HF2,1,pearson,-0.8184730713701402,851,pairwise
CS2_35,HF2,1,spearman,-0.9026316911630843,851,pairwise
CS2_35,HF3,1,pearson,0.39737432895685554,849,pairwise
CS2_35,HF3,1,spearman,0.9011707447163144,849,pairwise
CS2_35,HF4,1,pearson,0.9404202463263434,575,pairwise
CS2_35,HF4,1,spearman,0.9515269151138718,575,pairwise
CS2_35,HF5,1,pearson,0.8857833181576844,574,pairwise
CS2_35,HF5,1,spearman,0.8809785285586587,574,pairwise
CS2_35,HF6,1,pearson,0.7943986542255761,574,pairwise
CS2_35,HF6,1,spearman,0.8595243007868469,574,pairwise
CS2_35,HF7,1,pearson,0.9834673467389023,875,pairwise
CS2_35,HF7,1,spearman,0.9731304117066574,875,pairwise
CS2_35,HF8,1,pearson,-0.8434593833366287,851,pairwise
CS2_35,HF8,1,spearman,-0.9156920909099613,851,pairwise
CS2_35,SOH,4,pearson,0.9847769620232131,874,pairwise
CS2_35,SOH,4,spearman,0.9615094212447298,874,pairwise
CS2_35,HF1,4,pearson,0.981816336680256,872,pairwise
CS2_35,HF1,4,spearman,0.9676865763941969,872,pairwise
CS2_35,HF2,4,pearson,-0.8224035726937398,848,pairwise
CS2_35,HF2,4,spearman,-0.8933916137502437,848,pairwise
CS2_35,HF3,4,pearson,0.3957367507085607,846,pairwise
CS2_35,HF3,4,spearman,0.8795342038311835,846,pairwise
CS2_35,HF4,4,pearson,0.925972882369642,574,pairwise
CS2_35,HF4,4,spearman,0.9257564497208497,574,pairwise
CS2_35,HF5,4,pearson,0.853516709917789,573,pairwise
CS2_35,HF5,4,spearman,0.8302378250022229,573,pairwise
CS2_35,HF6,4,pearson,0.77265664987213,573,pairwise
CS2_35,HF6,4,spearman,0.8302663131632538,573,pairwise
CS2_35,HF7,4,pearson,0.9814250161940807,872,pairwise
CS2_35,HF7,4,spearman,0.9671253792783175,872,pairwise
CS2_35,HF8,4,pearson,-0.8461644246743965,848,pairwise
CS2_35,HF8,4,spearman,-0.9064352951687982,848,pairwise
CS2_35,SOH,8,pearson,0.9835026500079979,870,pairwise
CS2_35,SOH,8,spearman,0.96124854448079,870,pairwise
CS2_35,HF1,8,pearson,0.9811627144908579,868,pairwise
CS2_35,HF1,8,spearman,0.965189217425495,868,pairwise
CS2_35,HF2,8,pearson,-0.8245258362324164,844,pairwise
CS2_35,HF2,8,spearman,-0.8967768340266177,844,pairwise
CS2_35,HF3,8,pearson,0.3867431422154496,842,pairwise
CS2_35,HF3,8,spearman,0.8934048610418489,842,pairwise
CS2_35,HF4,8,pearson,0.9270287345977336,574,pairwise
CS2_35,HF4,8,spearman,0.9299481674599516,574,pairwise
CS2_35,HF5,8,pearson,0.871204406915123,573,pairwise
CS2_35,HF5,8,spearman,0.8537660781307825,573,pairwise
CS2_35,HF6,8,pearson,0.7720573120382886,573,pairwise
CS2_35,HF6,8,spearman,0.8428734526179438,573,pairwise
CS2_35,HF7,8,pearson,0.9807598466115747,868,pairwise
CS2_35,HF7,8,spearman,0.964693611966651,868,pairwise
CS2_35,HF8,8,pearson,-0.847464483099539,844,pairwise
CS2_35,HF8,8,spearman,-0.909432517687494,844,pairwise
CS2_35,SOH,12,pearson,0.9820493815849384,866,pairwise
CS2_35,SOH,12,spearman,0.9529696308337392,866,pairwise
CS2_35,HF1,12,pearson,0.9781611870692138,864,pairwise
CS2_35,HF1,12,spearman,0.9559112176832321,864,pairwise
CS2_35,HF2,12,pearson,-0.8318297338602768,840,pairwise
CS2_35,HF2,12,spearman,-0.8820150376792322,840,pairwise
CS2_35,HF3,12,pearson,0.37909580498342355,838,pairwise
CS2_35,HF3,12,spearman,0.8633019949166159,838,pairwise
CS2_35,HF4,12,pearson,0.9119433458958541,574,pairwise
CS2_35,HF4,12,spearman,0.8974603086475077,574,pairwise
CS2_35,HF5,12,pearson,0.8308512333580186,573,pairwise
CS2_35,HF5,12,spearman,0.7930071460910434,573,pairwise
CS2_35,HF6,12,pearson,0.7434961248706264,573,pairwise
CS2_35,HF6,12,spearman,0.8014262390079562,573,pairwise
CS2_35,HF7,12,pearson,0.9777081764165299,864,pairwise
CS2_35,HF7,12,spearman,0.9555054167628697,864,pairwise
CS2_35,HF8,12,pearson,-0.8519919452602853,840,pairwise
CS2_35,HF8,12,spearman,-0.895223448226201,840,pairwise
CS2_35,SOH,16,pearson,0.9795637345184683,862,pairwise
CS2_35,SOH,16,spearman,0.9492701444773413,862,pairwise
CS2_35,HF1,16,pearson,0.9764987973236198,860,pairwise
CS2_35,HF1,16,spearman,0.9531897376067113,860,pairwise
CS2_35,HF2,16,pearson,-0.8388351500747119,836,pairwise
CS2_35,HF2,16,spearman,-0.8838588707238506,836,pairwise
CS2_35,HF3,16,pearson,0.36852347521535816,834,pairwise
CS2_35,HF3,16,spearman,0.8752508852591138,834,pairwise
CS2_35,HF4,16,pearson,0.9077116996695819,574,pairwise
CS2_35,HF4,16,spearman,0.8938832526564671,574,pairwise
CS2_35,HF5,16,pearson,0.8371565944378578,573,pairwise
CS2_35,HF5,16,spearman,0.8072481088060196,573,pairwise
CS2_35,HF6,16,pearson,0.7417237005035502,573,pairwise
CS2_35,HF6,16,spearman,0.812293791332859,573,pairwise
CS2_35,HF7,16,pearson,0.9760428669437227,860,pairwise
CS2_35,HF7,16,spearman,0.9526533365191558,860,pairwise
CS2_35,HF8,16,pearson,-0.8574755393161192,836,pairwise
CS2_35,HF8,16,spearman,-0.8973262673072243,836,pairwise
CS2_35,SOH,24,pearson,0.9767807979919021,854,pairwise
CS2_35,SOH,24,spearman,0.9458947177680329,854,pairwise
CS2_35,HF1,24,pearson,0.9734958481746703,852,pairwise
CS2_35,HF1,24,spearman,0.9501764805304275,852,pairwise
CS2_35,HF2,24,pearson,-0.840979932214159,829,pairwise
CS2_35,HF2,24,spearman,-0.8775377378818258,829,pairwise
CS2_35,HF3,24,pearson,0.34702388834944675,827,pairwise
CS2_35,HF3,24,spearman,0.8636668685165485,827,pairwise
CS2_35,HF4,24,pearson,0.9038863626114815,574,pairwise
CS2_35,HF4,24,spearman,0.8825860273431518,574,pairwise
CS2_35,HF5,24,pearson,0.826251467961695,573,pairwise
CS2_35,HF5,24,spearman,0.7858847192904145,573,pairwise
CS2_35,HF6,24,pearson,0.7232660194843927,573,pairwise
CS2_35,HF6,24,spearman,0.7959007182164234,573,pairwise
CS2_35,HF7,24,pearson,0.9730282438497494,852,pairwise
CS2_35,HF7,24,spearman,0.9495951080211112,852,pairwise
CS2_35,HF8,24,pearson,-0.8586527452419613,829,pairwise
CS2_35,HF8,24,spearman,-0.8917561446137331,829,pairwise
CS2_35,SOH,32,pearson,0.9740720171856704,846,pairwise
CS2_35,SOH,32,spearman,0.9423114801183542,846,pairwise
