battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_35,A_drop_HF456,1,MAE,0.01183674101129749,0.03051707248255832,0.01,1,881
CS2_35,A_drop_HF456,1,MAE,0.01174615555473656,0.030573355146575238,0.1,1,881
CS2_35,A_drop_HF456,1,MAE,0.011682061911590986,0.030586887043231616,1.0,1,881
CS2_35,A_drop_HF456,1,MAE,0.011572875181604844,0.030366829791088155,10.0,1,881
CS2_35,A_drop_HF456,1,MAE,0.012037947779348803,0.029674355929303387,100.0,1,881
CS2_36,A_drop_HF456,1,MAE,0.013486926032669953,0.05188341212607039,0.01,1,972
CS2_36,A_drop_HF456,1,MAE,0.013564551775152905,0.05191783953714196,0.1,1,972
CS2_36,A_drop_HF456,1,MAE,0.01363460613555054,0.05194684954576007,1.0,1,972
CS2_36,A_drop_HF456,1,MAE,0.013592821212509291,0.05195903122067095,10.0,1,972
CS2_36,A_drop_HF456,1,MAE,0.01485301318948837,0.05219347958609395,100.0,1,972
CS2_37,A_drop_HF456,1,MAE,0.011722532932900601,0.03846862179537404,0.01,1,1037
CS2_37,A_drop_HF456,1,MAE,0.011623636223605195,0.038497231599116395,0.1,1,1037
CS2_37,A_drop_HF456,1,MAE,0.011595974989856171,0.0385310190195272,1.0,1,1037
CS2_37,A_drop_HF456,1,MAE,0.011638278582843728,0.038601282308007495,10.0,1,1037
CS2_37,A_drop_HF456,1,MAE,0.012743872973574606,0.03928025016274868,100.0,1,1037
CS2_38,A_drop_HF456,1,MAE,0.012796102316800166,0.04496201690237712,0.01,1,1027
CS2_38,A_drop_HF456,1,MAE,0.012409466383716875,0.044795852628760326,0.1,1,1027
CS2_38,A_drop_HF456,1,MAE,0.01229991883925594,0.04473179563300401,1.0,1,1027
CS2_38,A_drop_HF456,1,MAE,0.012404380233414702,0.04474862927759553,10.0,1,1027
CS2_38,A_drop_HF456,1,MAE,0.013970301919760498,0.045054752878224476,100.0,1,1027
CS2_35,B_HF456_median,1,MAE,0.011951665532172806,0.0304929934602844,0.01,1,881
CS2_35,B_HF456_median,1,MAE,0.0117635492224516,0.030573182316231223,0.1,1,881
CS2_35,B_HF456_median,1,MAE,0.011661615661853642,0.030593476303486297,1.0,1,881
CS2_35,B_HF456_median,1,MAE,0.01153763075690658,0.030365174644419086,10.0,1,881
CS2_35,B_HF456_median,1,MAE,0.011957730363783628,0.029636763818307384,100.0,1,881
CS2_36,B_HF456_median,1,MAE,0.01360657494984057,0.05191149502621618,0.01,1,972
CS2_36,B_HF456_median,1,MAE,0.013631340260504289,0.05196306195141109,0.1,1,972
CS2_36,B_HF456_median,1,MAE,0.01366558967568904,0.05199834791583245,1.0,1,972
CS2_36,B_HF456_median,1,MAE,0.013664975878848898,0.05202002898641763,10.0,1,972
CS2_36,B_HF456_median,1,MAE,0.014936876626449007,0.05226282229452578,100.0,1,972
CS2_37,B_HF456_median,1,MAE,0.011727083092708316,0.038436058806469484,0.01,1,1037
CS2_37,B_HF456_median,1,MAE,0.011641093499492558,0.03848569047005489,0.1,1,1037
CS2_37,B_HF456_median,1,MAE,0.011633819727305393,0.038529322716326767,1.0,1,1037
CS2_37,B_HF456_median,1,MAE,0.01172866426882843,0.038606099847084074,10.0,1,1037
CS2_37,B_HF456_median,1,MAE,0.012977531332805763,0.03929918082219576,100.0,1,1037
CS2_38,B_HF456_median,1,MAE,0.012936260821100375,0.045136096085336724,0.01,1,1027
CS2_38,B_HF456_median,1,MAE,0.012385279369834667,0.04486588494652624,0.1,1,1027
CS2_38,B_HF456_median,1,MAE,0.012256700189391744,0.044772587645672615,1.0,1,1027
CS2_38,B_HF456_median,1,MAE,0.012328487378424255,0.044770518386939205,10.0,1,1027
CS2_38,B_HF456_median,1,MAE,0.013753215290987764,0.04504508237812861,100.0,1,1027
CS2_35,B_HF456_median_indicators,1,MAE,0.012017791521917138,0.030372221024416113,0.01,1,881
CS2_35,B_HF456_median_indicators,1,MAE,0.011782338085863528,0.03049136369576841,0.1,1,881
CS2_35,B_HF456_median_indicators,1,MAE,0.011669700998983137,0.030532023821179203,1.0,1,881
CS2_35,B_HF456_median_indicators,1,MAE,0.011571177503480901,0.030312633154888937,10.0,1,881
CS2_35,B_HF456_median_indicators,1,MAE,0.011969651083936857,0.029627865214469855,100.0,1,881
CS2_36,B_HF456_median_indicators,1,MAE,0.013682911252559767,0.051836127229687674,0.01,1,972
CS2_36,B_HF456_median_indicators,1,MAE,0.013698283337817604,0.051913248177172015,0.1,1,972
CS2_36,B_HF456_median_indicators,1,MAE,0.013735314356907061,0.05196183511367442,1.0,1,972
CS2_36,B_HF456_median_indicators,1,MAE,0.013749645891284936,0.051986894465868114,10.0,1,972
CS2_36,B_HF456_median_indicators,1,MAE,0.014933195478048535,0.05226415010692736,100.0,1,972
CS2_37,B_HF456_median_indicators,1,MAE,0.011983615078000054,0.03846780355207633,0.01,1,1037
CS2_37,B_HF456_median_indicators,1,MAE,0.011875269319224443,0.03853609032971038,0.1,1,1037
CS2_37,B_HF456_median_indicators,1,MAE,0.011874605337930657,0.038591941222659944,1.0,1,1037
CS2_37,B_HF456_median_indicators,1,MAE,0.011965875938653637,0.03867499169055695,10.0,1,1037
CS2_37,B_HF456_median_indicators,1,MAE,0.013046773248764193,0.03933583780833119,100.0,1,1037
CS2_38,B_HF456_median_indicators,1,MAE,0.01368202122065964,0.04573087753544919,0.01,1,1027
CS2_38,B_HF456_median_indicators,1,MAE,0.012607616003054342,0.045176595313894015,0.1,1,1027
CS2_38,B_HF456_median_indicators,1,MAE,0.01222092360190598,0.044993096126917376,1.0,1,1027
CS2_38,B_HF456_median_indicators,1,MAE,0.012035305220750806,0.04488648201776924,10.0,1,1027
CS2_38,B_HF456_median_indicators,1,MAE,0.013964339767221097,0.045087820781735156,100.0,1,1027
CS2_35,B_missing_mask_only,1,MAE,0.013580248857624549,0.0315858781296886,0.01,1,881
CS2_35,B_missing_mask_only,1,MAE,0.01358222566183975,0.03158685713099839,0.1,1,881
CS2_35,B_missing_mask_only,1,MAE,0.013602234514509209,0.03159670787793496,1.0,1,881
CS2_35,B_missing_mask_only,1,MAE,0.013811103395322984,0.0317011645684905,10.0,1,881
CS2_35,B_missing_mask_only,1,MAE,0.016366337538831696,0.0332276738991922,100.0,1,881
CS2_36,B_missing_mask_only,1,MAE,0.016830857544954236,0.06390759046625975,0.01,1,972
CS2_36,B_missing_mask_only,1,MAE,0.01683456094165378,0.06390746965269364,0.1,1,972
CS2_36,B_missing_mask_only,1,MAE,0.01687227396610152,0.06390631704436402,1.0,1,972
CS2_36,B_missing_mask_only,1,MAE,0.017281684566719475,0.06390212803870798,10.0,1,972
CS2_36,B_missing_mask_only,1,MAE,0.022322214133025334,0.06453918024028718,100.0,1,972
CS2_37,B_missing_mask_only,1,MAE,0.015181471082626925,0.05041041417329465,0.01,1,1037
CS2_37,B_missing_mask_only,1,MAE,0.015184022854373246,0.05041084431692485,0.1,1,1037
CS2_37,B_missing_mask_only,1,MAE,0.015209947160262994,0.05041525121120455,1.0,1,1037
CS2_37,B_missing_mask_only,1,MAE,0.015489666121165906,0.05046720797638541,10.0,1,1037
CS2_37,B_missing_mask_only,1,MAE,0.01919778508414607,0.051594557578809416,100.0,1,1037
CS2_38,B_missing_mask_only,1,MAE,0.016393392923319237,0.059397398613095356,0.01,1,1027
CS2_38,B_missing_mask_only,1,MAE,0.016393287983500534,0.059396311208490496,0.1,1,1027
CS2_38,B_missing_mask_only,1,MAE,0.016394707332981175,0.0593853890530315,1.0,1,1027
CS2_38,B_missing_mask_only,1,MAE,0.016570987860930867,0.05928905634702325,10.0,1,1027
CS2_38,B_missing_mask_only,1,MAE,0.022056239637819147,0.059790872741128896,100.0,1,1027
CS2_35,C_complete_case_HF456,1,MAE,0.010022872427775519,0.019056647998082595,0.01,1,573
