battery,feature,horizon,metric,value,n_effective,support_rule,abs_partial,delta_abs_from_h1
CS2_35,HF5,1,pearson_partial_controlling_SOH,-0.026702293012555875,574,pairwise,0.026702293012555875,0.0
CS2_35,HF6,1,pearson_partial_controlling_SOH,-0.08822115901085639,574,pairwise,0.08822115901085639,0.0
CS2_35,HF5,4,pearson_partial_controlling_SOH,-0.18797875527368266,573,pairwise,0.18797875527368266,0.1612764622611268
CS2_35,HF6,4,pearson_partial_controlling_SOH,-0.13881431755115048,573,pairwise,0.13881431755115048,0.050593158540294086
CS2_35,HF5,8,pearson_partial_controlling_SOH,-0.015129530694629833,573,pairwise,0.015129530694629833,-0.011572762317926042
CS2_35,HF6,8,pearson_partial_controlling_SOH,-0.12041781626920253,573,pairwise,0.12041781626920253,0.03219665725834614
CS2_35,HF5,12,pearson_partial_controlling_SOH,-0.22304980327923074,573,pairwise,0.22304980327923074,0.19634751026667485
CS2_35,HF6,12,pearson_partial_controlling_SOH,-0.20026678280134144,573,pairwise,0.20026678280134144,0.11204562379048505
CS2_35,HF5,16,pearson_partial_controlling_SOH,-0.1180076880087249,573,pairwise,0.1180076880087249,0.09130539499616902
CS2_35,HF6,16,pearson_partial_controlling_SOH,-0.1627220897234338,573,pairwise,0.1627220897234338,0.0745009307125774
CS2_35,HF5,24,pearson_partial_controlling_SOH,-0.1664963693033829,573,pairwise,0.1664963693033829,0.13979407629082702
CS2_35,HF6,24,pearson_partial_controlling_SOH,-0.22662467442107348,573,pairwise,0.22662467442107348,0.1384035154102171
CS2_35,HF5,32,pearson_partial_controlling_SOH,-0.13021714157508324,573,pairwise,0.13021714157508324,0.10351484856252736
CS2_35,HF6,32,pearson_partial_controlling_SOH,-0.2522895896797019,573,pairwise,0.2522895896797019,0.1640684306688455
CS2_35,HF5,48,pearson_partial_controlling_SOH,-0.20764976262896154,574,pairwise,0.20764976262896154,0.18094746961640568
CS2_35,HF6,48,pearson_partial_controlling_SOH,-0.30074086005415973,574,pairwise,0.30074086005415973,0.21251970104330334
CS2_35,HF5,64,pearson_partial_controlling_SOH,-0.25420922306445126,574,pairwise,0.25420922306445126,0.22750693005189537
CS2_35,HF6,64,pearson_partial_controlling_SOH,-0.35785656391098125,574,pairwise,0.35785656391098125,0.26963540490012483
CS2_36,HF5,1,pearson_partial_controlling_SOH,0.02652888919495096,608,pairwise,0.02652888919495096,0.0
CS2_36,HF6,1,pearson_partial_controlling_SOH,0.03468231831883257,608,pairwise,0.03468231831883257,0.0
CS2_36,HF5,4,pearson_partial_controlling_SOH,0.04969156234402368,607,pairwise,0.04969156234402368,0.023162673149072718
CS2_36,HF6,4,pearson_partial_controlling_SOH,-0.053911329786554406,607,pairwise,0.053911329786554406,0.019229011467721838
CS2_36,HF5,8,pearson_partial_controlling_SOH,-0.023921083109502292,608,pairwise,0.023921083109502292,-0.0026078060854486697
CS2_36,HF6,8,pearson_partial_controlling_SOH,-0.07101581127711669,608,pairwise,0.07101581127711669,0.03633349295828412
CS2_36,HF5,12,pearson_partial_controlling_SOH,-0.05975613705231501,607,pairwise,0.05975613705231501,0.03322724785736404
CS2_36,HF6,12,pearson_partial_controlling_SOH,-0.11452097721304486,607,pairwise,0.11452097721304486,0.0798386588942123
CS2_36,HF5,16,pearson_partial_controlling_SOH,-0.003838307450969348,608,pairwise,0.003838307450969348,-0.022690581743981614
CS2_36,HF6,16,pearson_partial_controlling_SOH,-0.07910057691632955,608,pairwise,0.07910057691632955,0.04441825859749698
CS2_36,HF5,24,pearson_partial_controlling_SOH,-0.07586229524153157,607,pairwise,0.07586229524153157,0.04933340604658061
CS2_36,HF6,24,pearson_partial_controlling_SOH,-0.1403355380437012,607,pairwise,0.1403355380437012,0.10565321972486863
CS2_36,HF5,32,pearson_partial_controlling_SOH,-0.07233901850091477,607,pairwise,0.07233901850091477,0.045810129305963815
CS2_36,HF6,32,pearson_partial_controlling_SOH,-0.14826917789636548,607,pairwise,0.14826917789636548,0.11358685957753292
CS2_36,HF5,48,pearson_partial_controlling_SOH,-0.10176750552376762,608,pairwise,0.10176750552376762,0.07523861632881666
CS2_36,HF6,48,pearson_partial_controlling_SOH,-0.20409507921406778,608,pairwise,0.20409507921406778,0.16941276089523521
CS2_36,HF5,64,pearson_partial_controlling_SOH,-0.1547092654963948,608,pairwise,0.1547092654963948,0.12818037630144383
CS2_36,HF6,64,pearson_partial_controlling_SOH,-0.19802769765920547,608,pairwise,0.19802769765920547,0.1633453793403729
CS2_37,HF5,1,pearson_partial_controlling_SOH,0.017679987451184122,642,pairwise,0.017679987451184122,0.0
CS2_37,HF6,1,pearson_partial_controlling_SOH,-0.03090313126699508,642,pairwise,0.03090313126699508,0.0
CS2_37,HF5,4,pearson_partial_controlling_SOH,-0.07442045597579483,641,pairwise,0.07442045597579483,0.056740468524610704
CS2_37,HF6,4,pearson_partial_controlling_SOH,-0.06984789420125158,641,pairwise,0.06984789420125158,0.0389447629342565
CS2_37,HF5,8,pearson_partial_controlling_SOH,-0.0032601056976142117,642,pairwise,0.0032601056976142117,-0.01441988175356991
CS2_37,HF6,8,pearson_partial_controlling_SOH,-0.08311160091076089,642,pairwise,0.08311160091076089,0.05220846964376581
CS2_37,HF5,12,pearson_partial_controlling_SOH,-0.07970881414209059,642,pairwise,0.07970881414209059,0.062028826690906466
CS2_37,HF6,12,pearson_partial_controlling_SOH,-0.12070275763791181,642,pairwise,0.12070275763791181,0.08979962637091674
CS2_37,HF5,16,pearson_partial_controlling_SOH,-0.11726015451235117,641,pairwise,0.11726015451235117,0.09958016706116704
CS2_37,HF6,16,pearson_partial_controlling_SOH,-0.18900436823334346,641,pairwise,0.18900436823334346,0.15810123696634837
CS2_37,HF5,24,pearson_partial_controlling_SOH,-0.06014293510738918,640,pairwise,0.06014293510738918,0.04246294765620506
CS2_37,HF6,24,pearson_partial_controlling_SOH,-0.1412711737598095,640,pairwise,0.1412711737598095,0.11036804249281441
CS2_37,HF5,32,pearson_partial_controlling_SOH,-0.04350228257573842,640,pairwise,0.04350228257573842,0.025822295124554296
CS2_37,HF6,32,pearson_partial_controlling_SOH,-0.1300280733311281,640,pairwise,0.1300280733311281,0.09912494206413301
