battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_35,persistence,1,MAE,0.009843211245489583,0.02835115377404006,,1,877
CS2_36,persistence,1,MAE,0.01313846543061291,0.06420284817756933,,1,969
CS2_37,persistence,1,MAE,0.010885982774587535,0.04687644676221549,,1,1032
CS2_38,persistence,1,MAE,0.013652130996986834,0.05819784976125725,,1,1023
CS2_35,current_SOH,1,MAE,0.01351768169122903,0.03160294602638658,0.01,1,881
CS2_35,current_SOH,1,MAE,0.013520972536032516,0.03160358809523161,0.1,1,881
CS2_35,current_SOH,1,MAE,0.01355387025658524,0.03161005014718523,1.0,1,881
CS2_35,current_SOH,1,MAE,0.013882996255956641,0.031678769196774516,10.0,1,881
CS2_35,current_SOH,1,MAE,0.01728965722496307,0.03273775083820896,100.0,1,881
CS2_36,current_SOH,1,MAE,0.0167907247531555,0.06391014111410845,0.01,1,972
CS2_36,current_SOH,1,MAE,0.016795075455549292,0.0639100246227648,0.1,1,972
CS2_36,current_SOH,1,MAE,0.016838575834733367,0.06390890655550173,1.0,1,972
CS2_36,current_SOH,1,MAE,0.017279614730400045,0.06390237973290665,10.0,1,972
CS2_36,current_SOH,1,MAE,0.021843715772760043,0.06427154558299754,100.0,1,972
CS2_37,current_SOH,1,MAE,0.015127426812796368,0.05041792970963107,0.01,1,1037
CS2_37,current_SOH,1,MAE,0.015131326066214376,0.05041819515523017,0.1,1,1037
CS2_37,current_SOH,1,MAE,0.0151703052013633,0.05042089537782795,1.0,1,1037
CS2_37,current_SOH,1,MAE,0.01556108275849805,0.05045243939943485,10.0,1,1037
CS2_37,current_SOH,1,MAE,0.019538030518507225,0.05118704372673957,100.0,1,1037
CS2_38,current_SOH,1,MAE,0.016265111791369167,0.05929807261919965,0.01,1,1027
CS2_38,current_SOH,1,MAE,0.01626825754246528,0.05929766346989946,0.1,1,1027
CS2_38,current_SOH,1,MAE,0.016299762744479907,0.05929360170737501,1.0,1,1027
CS2_38,current_SOH,1,MAE,0.01661905402837687,0.05925593922756691,10.0,1,1027
CS2_38,current_SOH,1,MAE,0.019961753190893394,0.059157050140926835,100.0,1,1027
CS2_35,current_SOH_currentHF,1,MAE,0.011951665532172806,0.0304929934602844,0.01,1,881
CS2_35,current_SOH_currentHF,1,MAE,0.0117635492224516,0.030573182316231223,0.1,1,881
CS2_35,current_SOH_currentHF,1,MAE,0.011661615661853642,0.030593476303486297,1.0,1,881
CS2_35,current_SOH_currentHF,1,MAE,0.01153763075690658,0.030365174644419086,10.0,1,881
CS2_35,current_SOH_currentHF,1,MAE,0.011957730363783628,0.029636763818307384,100.0,1,881
CS2_36,current_SOH_currentHF,1,MAE,0.01360657494984057,0.05191149502621618,0.01,1,972
CS2_36,current_SOH_currentHF,1,MAE,0.013631340260504289,0.05196306195141109,0.1,1,972
CS2_36,current_SOH_currentHF,1,MAE,0.01366558967568904,0.05199834791583245,1.0,1,972
CS2_36,current_SOH_currentHF,1,MAE,0.013664975878848898,0.05202002898641763,10.0,1,972
CS2_36,current_SOH_currentHF,1,MAE,0.014936876626449007,0.05226282229452578,100.0,1,972
CS2_37,current_SOH_currentHF,1,MAE,0.011727083092708316,0.038436058806469484,0.01,1,1037
CS2_37,current_SOH_currentHF,1,MAE,0.011641093499492558,0.03848569047005489,0.1,1,1037
