battery,feature_A,feature_B,horizon_1,horizon_2,rank_A_h1,rank_B_h1,rank_A_h2,rank_B_h2,battery_count
CS2_35,HF1,HF6,1,64,1.0,3.0,2.0,1.0,1
CS2_35,HF1,HF6,4,64,1.0,4.0,2.0,1.0,1
CS2_35,HF1,HF6,8,64,1.0,6.0,2.0,1.0,1
CS2_35,HF1,HF6,12,64,1.0,5.0,2.0,1.0,1
CS2_35,HF1,HF6,16,64,1.0,5.0,2.0,1.0,1
CS2_35,HF1,HF6,24,64,1.0,5.0,2.0,1.0,1
CS2_35,HF1,HF6,32,64,1.0,3.0,2.0,1.0,1
CS2_35,HF1,HF6,48,64,1.0,3.0,2.0,1.0,1
CS2_35,HF2,HF4,1,32,4.0,6.0,6.0,4.0,2
CS2_35,HF2,HF4,4,32,5.0,8.0,6.0,4.0,2
CS2_35,HF2,HF4,8,32,3.0,5.0,6.0,4.0,2
CS2_35,HF2,HF4,12,32,4.0,7.0,6.0,4.0,2
CS2_35,HF2,HF4,16,32,3.0,6.0,6.0,4.0,1
CS2_35,HF2,HF4,24,32,3.0,7.0,6.0,4.0,2
CS2_35,HF2,HF4,32,48,6.0,4.0,5.0,6.0,1
CS2_35,HF2,HF4,32,64,6.0,4.0,3.0,7.0,1
CS2_35,HF2,HF5,1,4,4.0,7.0,5.0,3.0,2
CS2_35,HF2,HF5,1,12,4.0,7.0,4.0,3.0,2
CS2_35,HF2,HF5,4,8,5.0,3.0,3.0,7.0,2
CS2_35,HF2,HF5,4,16,5.0,3.0,3.0,7.0,1
CS2_35,HF2,HF5,4,24,5.0,3.0,3.0,6.0,2
CS2_35,HF2,HF5,4,32,5.0,3.0,6.0,7.0,2
CS2_35,HF2,HF5,4,48,5.0,3.0,5.0,7.0,2
CS2_35,HF2,HF5,4,64,5.0,3.0,3.0,6.0,2
CS2_35,HF2,HF5,8,12,3.0,7.0,4.0,3.0,2
CS2_35,HF2,HF5,12,16,4.0,3.0,3.0,7.0,1
CS2_35,HF2,HF5,12,24,4.0,3.0,3.0,6.0,2
CS2_35,HF2,HF5,12,32,4.0,3.0,6.0,7.0,2
CS2_35,HF2,HF5,12,48,4.0,3.0,5.0,7.0,2
CS2_35,HF2,HF5,12,64,4.0,3.0,3.0,6.0,2
CS2_35,HF2,HF6,1,8,4.0,3.0,3.0,6.0,3
CS2_35,HF2,HF6,1,12,4.0,3.0,4.0,5.0,4
CS2_35,HF2,HF6,1,16,4.0,3.0,3.0,5.0,3
CS2_35,HF2,HF6,1,24,4.0,3.0,3.0,5.0,4
CS2_35,HF2,HF6,4,8,5.0,4.0,3.0,6.0,1
CS2_35,HF2,HF6,4,12,5.0,4.0,4.0,5.0,2
CS2_35,HF2,HF6,4,16,5.0,4.0,3.0,5.0,1
CS2_35,HF2,HF6,4,24,5.0,4.0,3.0,5.0,2
CS2_35,HF2,HF6,8,32,3.0,6.0,6.0,3.0,2
CS2_35,HF2,HF6,8,48,3.0,6.0,5.0,3.0,2
CS2_35,HF2,HF6,8,64,3.0,6.0,3.0,1.0,2
CS2_35,HF2,HF6,12,32,4.0,5.0,6.0,3.0,1
CS2_35,HF2,HF6,12,48,4.0,5.0,5.0,3.0,1
CS2_35,HF2,HF6,12,64,4.0,5.0,3.0,1.0,1
CS2_35,HF2,HF6,16,32,3.0,5.0,6.0,3.0,2
CS2_35,HF2,HF6,16,48,3.0,5.0,5.0,3.0,2
CS2_35,HF2,HF6,16,64,3.0,5.0,3.0,1.0,2
CS2_35,HF2,HF6,24,32,3.0,5.0,6.0,3.0,1
CS2_35,HF2,HF6,24,48,3.0,5.0,5.0,3.0,1
CS2_35,HF2,HF6,24,64,3.0,5.0,3.0,1.0,1
CS2_35,HF2,HF7,1,64,4.0,2.0,3.0,4.0,1
CS2_35,HF2,HF7,4,64,5.0,2.0,3.0,4.0,1
CS2_35,HF2,HF7,8,64,3.0,2.0,3.0,4.0,1
CS2_35,HF2,HF7,12,64,4.0,2.0,3.0,4.0,1
CS2_35,HF2,HF7,16,64,3.0,2.0,3.0,4.0,1
CS2_35,HF2,HF7,24,64,3.0,2.0,3.0,4.0,1
CS2_35,HF2,HF7,32,64,6.0,2.0,3.0,4.0,1
CS2_35,HF2,HF7,48,64,5.0,2.0,3.0,4.0,1
CS2_35,HF2,HF8,1,32,4.0,5.0,6.0,5.0,1
CS2_35,HF2,HF8,1,48,4.0,5.0,5.0,4.0,1
CS2_35,HF2,HF8,4,32,5.0,6.0,6.0,5.0,1
CS2_35,HF2,HF8,4,48,5.0,6.0,5.0,4.0,1
CS2_35,HF2,HF8,8,32,3.0,4.0,6.0,5.0,1
CS2_35,HF2,HF8,8,48,3.0,4.0,5.0,4.0,1
CS2_35,HF2,HF8,12,32,4.0,6.0,6.0,5.0,1
CS2_35,HF2,HF8,12,48,4.0,6.0,5.0,4.0,1
CS2_35,HF2,HF8,16,32,3.0,4.0,6.0,5.0,1
CS2_35,HF2,HF8,16,48,3.0,4.0,5.0,4.0,1
CS2_35,HF2,HF8,24,32,3.0,4.0,6.0,5.0,1
CS2_35,HF2,HF8,24,48,3.0,4.0,5.0,4.0,1
CS2_35,HF2,HF8,32,64,6.0,5.0,3.0,5.0,1
CS2_35,HF2,HF8,48,64,5.0,4.0,3.0,5.0,1
CS2_35,HF3,HF4,1,4,8.0,6.0,7.0,8.0,1
CS2_35,HF3,HF4,4,8,7.0,8.0,8.0,5.0,1
CS2_35,HF3,HF4,4,12,7.0,8.0,8.0,7.0,1
CS2_35,HF3,HF4,4,16,7.0,8.0,8.0,6.0,2
CS2_35,HF3,HF4,4,24,7.0,8.0,8.0,7.0,1
CS2_35,HF3,HF4,4,32,7.0,8.0,8.0,4.0,2
CS2_35,HF3,HF4,4,48,7.0,8.0,8.0,6.0,2
CS2_35,HF3,HF4,4,64,7.0,8.0,8.0,7.0,2
CS2_35,HF4,HF5,1,4,6.0,7.0,8.0,3.0,2
CS2_35,HF4,HF5,1,12,6.0,7.0,7.0,3.0,2
CS2_35,HF4,HF5,1,24,6.0,7.0,7.0,6.0,2
CS2_35,HF4,HF5,1,64,6.0,7.0,7.0,6.0,2
CS2_35,HF4,HF5,4,8,8.0,3.0,5.0,7.0,3
CS2_35,HF4,HF5,4,16,8.0,3.0,6.0,7.0,2
CS2_35,HF4,HF5,4,32,8.0,3.0,4.0,7.0,2
CS2_35,HF4,HF5,4,48,8.0,3.0,6.0,7.0,2
CS2_35,HF4,HF5,8,12,5.0,7.0,7.0,3.0,3
CS2_35,HF4,HF5,8,24,5.0,7.0,7.0,6.0,3
CS2_35,HF4,HF5,8,64,5.0,7.0,7.0,6.0,3
CS2_35,HF4,HF5,12,16,7.0,3.0,6.0,7.0,2
CS2_35,HF4,HF5,12,32,7.0,3.0,4.0,7.0,2
CS2_35,HF4,HF5,12,48,7.0,3.0,6.0,7.0,2
CS2_35,HF4,HF5,16,24,6.0,7.0,7.0,6.0,2
CS2_35,HF4,HF5,16,64,6.0,7.0,7.0,6.0,2
CS2_35,HF4,HF5,24,32,7.0,6.0,4.0,7.0,2
CS2_35,HF4,HF5,24,48,7.0,6.0,6.0,7.0,2
CS2_35,HF4,HF5,32,64,4.0,7.0,7.0,6.0,2
CS2_35,HF4,HF5,48,64,6.0,7.0,7.0,6.0,2
CS2_35,HF4,HF6,1,8,6.0,3.0,5.0,6.0,2
CS2_35,HF4,HF6,4,8,8.0,4.0,5.0,6.0,1
CS2_35,HF4,HF6,8,12,5.0,6.0,7.0,5.0,1
CS2_35,HF4,HF6,8,16,5.0,6.0,6.0,5.0,1
CS2_35,HF4,HF6,8,24,5.0,6.0,7.0,5.0,1
CS2_35,HF4,HF6,8,32,5.0,6.0,4.0,3.0,1
CS2_35,HF4,HF6,8,48,5.0,6.0,6.0,3.0,1
CS2_35,HF4,HF6,8,64,5.0,6.0,7.0,1.0,1
CS2_35,HF4,HF8,1,32,6.0,5.0,4.0,5.0,1
CS2_35,HF4,HF8,4,32,8.0,6.0,4.0,5.0,1
CS2_35,HF4,HF8,8,32,5.0,4.0,4.0,5.0,1
CS2_35,HF4,HF8,12,32,7.0,6.0,4.0,5.0,1
CS2_35,HF4,HF8,16,32,6.0,4.0,4.0,5.0,1
CS2_35,HF4,HF8,24,32,7.0,4.0,4.0,5.0,1
CS2_35,HF4,HF8,32,48,4.0,5.0,6.0,4.0,2
CS2_35,HF4,HF8,32,64,4.0,5.0,7.0,5.0,2
CS2_35,HF5,HF6,1,4,7.0,3.0,3.0,4.0,2
CS2_35,HF5,HF6,1,12,7.0,3.0,3.0,5.0,1
CS2_35,HF5,HF6,4,8,3.0,4.0,7.0,6.0,2
CS2_35,HF5,HF6,4,16,3.0,4.0,7.0,5.0,2
CS2_35,HF5,HF6,4,24,3.0,4.0,6.0,5.0,2
CS2_35,HF5,HF6,4,32,3.0,4.0,7.0,3.0,2
CS2_35,HF5,HF6,4,48,3.0,4.0,7.0,3.0,2
CS2_35,HF5,HF6,4,64,3.0,4.0,6.0,1.0,2
CS2_35,HF5,HF6,8,12,7.0,6.0,3.0,5.0,1
CS2_35,HF5,HF6,12,16,3.0,5.0,7.0,5.0,1
CS2_35,HF5,HF6,12,24,3.0,5.0,6.0,5.0,1
CS2_35,HF5,HF6,12,32,3.0,5.0,7.0,3.0,1
CS2_35,HF5,HF6,12,48,3.0,5.0,7.0,3.0,1
CS2_35,HF5,HF6,12,64,3.0,5.0,6.0,1.0,1
CS2_35,HF5,HF8,1,4,7.0,5.0,3.0,6.0,1
CS2_35,HF5,HF8,1,12,7.0,5.0,3.0,6.0,1
CS2_35,HF5,HF8,4,8,3.0,6.0,7.0,4.0,1
CS2_35,HF5,HF8,4,16,3.0,6.0,7.0,4.0,1
CS2_35,HF5,HF8,4,24,3.0,6.0,6.0,4.0,1
CS2_35,HF5,HF8,4,32,3.0,6.0,7.0,5.0,1
CS2_35,HF5,HF8,4,48,3.0,6.0,7.0,4.0,3
CS2_35,HF5,HF8,4,64,3.0,6.0,6.0,5.0,3
CS2_35,HF5,HF8,8,12,7.0,4.0,3.0,6.0,1
CS2_35,HF5,HF8,12,16,3.0,6.0,7.0,4.0,1
CS2_35,HF5,HF8,12,24,3.0,6.0,6.0,4.0,1
CS2_35,HF5,HF8,12,32,3.0,6.0,7.0,5.0,1
CS2_35,HF5,HF8,12,48,3.0,6.0,7.0,4.0,3
CS2_35,HF5,HF8,12,64,3.0,6.0,6.0,5.0,3
CS2_35,HF6,HF7,1,64,3.0,2.0,1.0,4.0,1
CS2_35,HF6,HF7,4,64,4.0,2.0,1.0,4.0,1
