battery,horizon,support_rule,n_effective_min,n_effective_max,identical_hf_support
CS2_35,1,pairwise,574,875,False
CS2_35,4,pairwise,573,872,False
CS2_35,8,pairwise,573,868,False
CS2_35,12,pairwise,573,864,False
CS2_35,16,pairwise,573,860,False
CS2_35,24,pairwise,573,852,False
CS2_35,32,pairwise,573,844,False
CS2_35,48,pairwise,574,828,False
CS2_35,64,pairwise,574,814,False
CS2_36,1,pairwise,608,968,False
CS2_36,4,pairwise,607,965,False
CS2_36,8,pairwise,608,961,False
CS2_36,12,pairwise,607,957,False
CS2_36,16,pairwise,608,953,False
CS2_36,24,pairwise,607,945,False
CS2_36,32,pairwise,607,937,False
CS2_36,48,pairwise,608,921,False
CS2_36,64,pairwise,608,905,False
CS2_37,1,pairwise,642,1028,False
CS2_37,4,pairwise,641,1025,False
CS2_37,8,pairwise,642,1021,False
CS2_37,12,pairwise,642,1017,False
CS2_37,16,pairwise,641,1013,False
CS2_37,24,pairwise,640,1005,False
CS2_37,32,pairwise,640,997,False
CS2_37,48,pairwise,641,981,False
CS2_37,64,pairwise,641,967,False
CS2_38,1,pairwise,550,1019,False
CS2_38,4,pairwise,549,1016,False
CS2_38,8,pairwise,551,1012,False
CS2_38,12,pairwise,550,1008,False
CS2_38,16,pairwise,549,1004,False
CS2_38,24,pairwise,549,996,False
CS2_38,32,pairwise,549,988,False
CS2_38,48,pairwise,549,972,False
CS2_38,64,pairwise,550,957,False
