battery,feature,horizon,metric,value,n_effective,support_rule
CS2_35,HF1,1,pearson_partial_controlling_SOH,0.44364152384719585,875,pairwise
CS2_35,HF2,1,pearson_partial_controlling_SOH,0.06967477396086022,851,pairwise
CS2_35,HF3,1,pearson_partial_controlling_SOH,-0.013941857798187811,849,pairwise
CS2_35,HF4,1,pearson_partial_controlling_SOH,0.02721073241991321,575,pairwise
CS2_35,HF5,1,pearson_partial_controlling_SOH,-0.026702293012555875,574,pairwise
CS2_35,HF6,1,pearson_partial_controlling_SOH,-0.08822115901085639,574,pairwise
CS2_35,HF7,1,pearson_partial_controlling_SOH,0.4372855255263181,875,pairwise
CS2_35,HF8,1,pearson_partial_controlling_SOH,0.06188098095198334,851,pairwise
CS2_35,HF1,4,pearson_partial_controlling_SOH,0.4154846551041799,872,pairwise
CS2_35,HF2,4,pearson_partial_controlling_SOH,0.09503793641906055,848,pairwise
CS2_35,HF3,4,pearson_partial_controlling_SOH,0.02220793418047009,846,pairwise
CS2_35,HF4,4,pearson_partial_controlling_SOH,-0.011313453105296623,574,pairwise
CS2_35,HF5,4,pearson_partial_controlling_SOH,-0.18797875527368266,573,pairwise
CS2_35,HF6,4,pearson_partial_controlling_SOH,-0.13881431755115048,573,pairwise
CS2_35,HF7,4,pearson_partial_controlling_SOH,0.4093748069788585,872,pairwise
CS2_35,HF8,4,pearson_partial_controlling_SOH,0.08651737530372863,848,pairwise
CS2_35,HF1,8,pearson_partial_controlling_SOH,0.4177044053557232,868,pairwise
CS2_35,HF2,8,pearson_partial_controlling_SOH,0.19981128613908136,844,pairwise
CS2_35,HF3,8,pearson_partial_controlling_SOH,0.002149483794788562,842,pairwise
CS2_35,HF4,8,pearson_partial_controlling_SOH,0.1350628635212414,574,pairwise
CS2_35,HF5,8,pearson_partial_controlling_SOH,-0.015129530694629833,573,pairwise
CS2_35,HF6,8,pearson_partial_controlling_SOH,-0.12041781626920253,573,pairwise
CS2_35,HF7,8,pearson_partial_controlling_SOH,0.4112184750382419,868,pairwise
CS2_35,HF8,8,pearson_partial_controlling_SOH,0.17998309809925916,844,pairwise
CS2_35,HF1,12,pearson_partial_controlling_SOH,0.3763117272232869,864,pairwise
