battery,horizon,mae_A_history_L32,rmse_A_history_L32,mae_B_currentHF,rmse_B_currentHF,mae_C_HFhistory,rmse_C_HFhistory,improvement_currentHF,improvement_HFhistory,history_vs_currentHF
CS2_35,1,0.0134366327555354,0.0242655318461081,0.0125805624059305,0.0242419730722285,0.0150707740173485,0.0263290978627063,0.0637116727963136,-0.12161836164941645,-0.1979411993730988
CS2_35,4,0.014935605350168,0.0257448845764872,0.0141739721409875,0.0256363136995865,0.0163676216124974,0.027554933956405,0.05099446532791076,-0.0958793586704734,-0.1547660352150987
CS2_35,8,0.0163995294698482,0.027437502347438,0.0155271636315588,0.0278228256543683,0.0173344110081855,0.0286944793070626,0.05319456511806105,-0.05700660741859385,-0.11639262775291984
CS2_35,12,0.0177221548731025,0.0290347931105395,0.016846139540983,0.0292287441858789,0.0191135921867892,0.0301707232610501,0.049430520068925524,-0.07851400259448871,-0.1345977599372236
CS2_35,16,0.0187309179073056,0.030438859809414,0.0180835492381779,0.0302803356661864,0.0201919747372853,0.0311493019601835,0.034561502662675575,-0.07800241489552669,-0.11659356641428024
CS2_35,24,0.0208455591707084,0.0331715334518519,0.020149708149759,0.0332641982642654,0.0216594634849564,0.0324832150891503,0.03338125954074621,-0.03904449420534977,-0.07492690831928782
CS2_35,32,0.0229549292937756,0.03548821545043,0.0221938525112589,0.0346656494119345,0.0234910907569061,0.0338702949982144,0.033155265815742324,-0.023357138515599073,-0.05845034092161842
CS2_35,48,0.0249621812022122,0.0380181457815059,0.0244058040131288,0.0369202307988602,0.0261698772942011,0.0363813817050866,0.0222888049956985,-0.048381032178464914,-0.07228089187815068
CS2_35,64,0.0281582429339891,0.0404367003721113,0.0272084010135092,0.0392280544982274,0.0286250733853476,0.0392750979701798,0.033732286588570144,-0.016578820363645556,-0.0520674614849659
CS2_36,1,0.0169167105547672,0.0491063379557269,0.015725726707744,0.0486479779326447,0.017376167404299,0.0494377764331791,0.07040280337997351,-0.027159940346814213,-0.10495163290242426
CS2_36,4,0.0183960536346655,0.0500023226655153,0.0176197828307952,0.0496478975263693,0.018151184338769,0.0498880335140501,0.042197681050869275,0.013310968795778493,-0.03015936763108314
CS2_36,8,0.0200531209176974,0.0509044733921287,0.0191833218789824,0.0504265663551746,0.0193167304533769,0.0502870523046753,0.04337474661848673,0.03672198793109647,-0.006954404207785495
CS2_36,12,0.0215751578571,0.0522004226431291,0.020522352628915,0.0512588068961406,0.0208249636078753,0.0513771068765681,0.048797104297363905,0.03477120557789214,-0.014745433159253672
CS2_36,16,0.0227116514527839,0.0535936836234236,0.0217155103567626,0.0528176582900591,0.0223042306188317,0.0523185128274221,0.04386035502932122,0.017938846710429817,-0.027110588348929224
CS2_36,24,0.0245654190552316,0.0551234115318735,0.0237618032484233,0.0543771634503186,0.0242466662699611,0.0539378346841555,0.03271329526280379,0.012975670577971127,-0.02040514419165434
CS2_36,32,0.0259561250971673,0.0566792027020139,0.0252388518579526,0.055663534622306,0.0248787135891912,0.0549369593294742,0.02763406465832516,0.041508950351517665,0.01426920173660452
CS2_36,48,0.0283368953659871,0.0584752667236464,0.0281202185577003,0.0573996318488395,0.0273137852986454,0.0555289852622122,0.0076464554598622584,0.03610522797672967,0.028678058010117122
CS2_36,64,0.0310637845235286,0.0608745127552383,0.0310198572752376,0.0595361409875726,0.0293902605694178,0.0573703815370863,0.0014140984096038356,0.05387379483150952,0.05253398464604381
CS2_37,1,0.0137466555279781,0.0360665972061852,0.0124277597411318,0.0357070685180323,0.0145566817202547,0.0363519972282319,0.09594303022738852,-0.05892532846465677,-0.17130376057052887
CS2_37,4,0.0151622994381208,0.0368377885017588,0.0146874186338906,0.0368834917554056,0.0159444704934947,0.0370594396343698,0.03131984077799327,-0.051586572245590705,-0.08558698372656881
CS2_37,8,0.0164470791485952,0.0380580069604776,0.015636683888878,0.0375954446330132,0.0174364805809981,0.0380526230908962,0.04927289839098368,-0.06015666511141042,-0.11510091940914995
CS2_37,12,0.0178485731907536,0.038700412998601,0.01734804935284,0.038578837719387,0.0189373301690889,0.0391906087818368,0.028042792696331253,-0.060999664606206656,-0.09161149959425978
CS2_37,16,0.019141485709991,0.0394038969746268,0.0189177198983457,0.039604117635295,0.0200865151460097,0.0397085129444332,0.011690096319352295,-0.04937074636403157,-0.06178309299136037
CS2_37,24,0.0208483380023021,0.0406681381121841,0.0206288915743799,0.0404233886762281,0.0218838259450774,0.0408629541181688,0.01052584757106143,-0.049667649414594124,-0.06083382455003391
CS2_37,32,0.0225323846896328,0.0416605393697552,0.0226390001887095,0.0419534726985633,0.0230060736109364,0.041369765280342,-0.0047316562603225715,-0.02102258273273421,-0.016214206421093114
CS2_37,48,0.0237180391543915,0.0427800641589149,0.024042715563038,0.0426176740730166,0.022788244549008,0.0397817047141449,-0.013689007195453011,0.03920200145260922,0.05217676059681697
CS2_37,64,0.0249706691822132,0.0436737050831451,0.0243475344188686,0.0428161315638204,0.022431481599517,0.04015379085705,0.024954668166781206,0.1016868055944965,0.07869596922580857
CS2_38,1,0.0150548637403258,0.0433987596713169,0.0140837253236162,0.0428958584777941,0.0162169860082543,0.0433678252550971,0.06450662280710781,-0.07719247998343885,-0.15146991549607655
CS2_38,4,0.0160146784934541,0.0436216801539056,0.015558997108029,0.0433217833314748,0.0172733957271142,0.043837171086097,0.028453982739107618,-0.07859772109534327,-0.11018696174193049
CS2_38,8,0.0166925836699943,0.0438175817881659,0.0156057589022031,0.0432063010265793,0.0184539815870197,0.0440491432723861,0.06510824143687348,-0.10551978961720566,-0.18251100139798468
CS2_38,12,0.017817922710388,0.0446180263350319,0.0170239482313434,0.0440687276463744,0.0203390937685205,0.045420333618898,0.04456044017868058,-0.1414963516854093,-0.1947342350979115
CS2_38,16,0.0186327779653885,0.0448189120561272,0.0179625444236877,0.0443567300271932,0.021045139991839,0.0459102360940745,0.03597067184215904,-0.12946872607678822,-0.1716124116629155
CS2_38,24,0.0205178862765429,0.0453976983094069,0.0195809337868269,0.0452102429502541,0.0232050555481719,0.0470873020260824,0.0456651565900904,-0.1309671588686555,-0.1850842151247726
CS2_38,32,0.0228121529015585,0.0468366753178799,0.0216770412066668,0.0465388899476868,0.0246181366952002,0.0485016518226642,0.04975907796997763,-0.07916761742896766,-0.13567790274019784
CS2_38,48,0.0246140957965076,0.0478151275307263,0.0236805739239119,0.0475779042391126,0.0283507652333109,0.0501455385698214,0.03792631183015685,-0.15181014438618873,-0.1972161369232351
CS2_38,64,0.0263496555564672,0.0490582946237619,0.0254581202380464,0.0490510502078378,0.0300738175290215,0.051868355577508,0.03383479971911749,-0.14133626773881117,-0.1813055028343011
