state_definition,feature_group,mean_state_range,max_state_range,between_state_variance_ratio,reliable_rows
cycle_position,Group_CC,0.0007107695236400732,0.0009185834301032171,0.3409336683094897,108
cycle_position,Group_CV,0.00031776377777152404,0.0007282712598313786,0.024070206832439874,108
cycle_position,Group_DischargeIC,0.0009999436366634198,0.00183595984672324,0.25564294359041045,108
cycle_position,Group_EnergyEfficiency,0.0003174205652397377,0.0005694210899992351,0.12549844045527672,108
degradation_dynamics,Group_CC,0.0003816723799327869,0.00048003007418599176,0.35008775691425287,108
degradation_dynamics,Group_CV,0.00017976733521181856,0.00047265108352961566,0.0034680753373739688,108
degradation_dynamics,Group_DischargeIC,0.001089865383604813,0.0018151534970079772,0.2761632450703296,108
degradation_dynamics,Group_EnergyEfficiency,0.00024331867377741257,0.0002983387248724559,0.403811933399858,108
soh_level,Group_CC,0.0005760774519594168,0.001150068875917082,0.056629387839029405,106
soh_level,Group_CV,0.0004256630163752971,0.0014943043834830835,0.0034024755067303693,106
soh_level,Group_DischargeIC,0.0005087673811701292,0.001004320089677358,0.06746237225406244,106
soh_level,Group_EnergyEfficiency,0.00032750007462701045,0.0007430455265786335,0.07561874697691925,106
