battery,horizon,state_1,state_2,kendall_tau,top_group_state_1,top_group_state_2,top_group_changed
CS2_35,1,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_35,1,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_35,1,Medium,Fast,0.3333333333333334,Group_CC,Group_CC,False
CS2_35,4,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_35,4,Slow,Fast,1.0,Group_CC,Group_CC,False
CS2_35,4,Medium,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_35,8,Slow,Medium,0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_35,8,Slow,Fast,1.0,Group_CC,Group_CC,False
CS2_35,8,Medium,Fast,0.3333333333333334,Group_DischargeIC,Group_CC,True
CS2_35,12,Slow,Medium,0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_35,12,Slow,Fast,0.3333333333333334,Group_CC,Group_CC,False
CS2_35,12,Medium,Fast,-0.3333333333333334,Group_DischargeIC,Group_CC,True
CS2_35,16,Slow,Medium,1.0,Group_DischargeIC,Group_DischargeIC,False
CS2_35,16,Slow,Fast,0.6666666666666669,Group_DischargeIC,Group_CC,True
CS2_35,16,Medium,Fast,0.6666666666666669,Group_DischargeIC,Group_CC,True
CS2_35,24,Slow,Medium,0.6666666666666669,Group_DischargeIC,Group_DischargeIC,False
CS2_35,24,Slow,Fast,0.0,Group_DischargeIC,Group_CC,True
CS2_35,24,Medium,Fast,-0.3333333333333334,Group_DischargeIC,Group_CC,True
CS2_35,32,Slow,Medium,0.6666666666666669,Group_DischargeIC,Group_DischargeIC,False
CS2_35,32,Slow,Fast,0.0,Group_DischargeIC,Group_CC,True
CS2_35,32,Medium,Fast,0.3333333333333334,Group_DischargeIC,Group_CC,True
CS2_35,48,Slow,Medium,-0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_35,48,Slow,Fast,-0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_35,48,Medium,Fast,0.3333333333333334,Group_DischargeIC,Group_DischargeIC,False
CS2_35,64,Slow,Medium,-0.3333333333333334,Group_CV,Group_DischargeIC,True
CS2_35,64,Slow,Fast,0.0,Group_CV,Group_DischargeIC,True
CS2_35,64,Medium,Fast,0.6666666666666669,Group_DischargeIC,Group_DischargeIC,False
CS2_36,1,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,1,Slow,Fast,0.3333333333333334,Group_CC,Group_CC,False
CS2_36,1,Medium,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,4,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,4,Slow,Fast,1.0,Group_CC,Group_CC,False
CS2_36,4,Medium,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,8,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,8,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,8,Medium,Fast,1.0,Group_CC,Group_CC,False
CS2_36,12,Slow,Medium,-0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_36,12,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,12,Medium,Fast,0.0,Group_DischargeIC,Group_CC,True
CS2_36,16,Slow,Medium,-0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_36,16,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,16,Medium,Fast,0.0,Group_DischargeIC,Group_CC,True
CS2_36,24,Slow,Medium,0.0,Group_CC,Group_CC,False
CS2_36,24,Slow,Fast,0.3333333333333334,Group_CC,Group_CC,False
CS2_36,24,Medium,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_36,32,Slow,Medium,1.0,Group_CC,Group_CC,False
CS2_36,32,Slow,Fast,-0.6666666666666669,Group_CC,Group_CV,True
CS2_36,32,Medium,Fast,-0.6666666666666669,Group_CC,Group_CV,True
CS2_36,48,Slow,Medium,1.0,Group_CC,Group_CC,False
CS2_36,48,Slow,Fast,-1.0,Group_CC,Group_DischargeIC,True
CS2_36,48,Medium,Fast,-1.0,Group_CC,Group_DischargeIC,True
CS2_36,64,Slow,Medium,0.6666666666666669,Group_CC,Group_EnergyEfficiency,True
CS2_36,64,Slow,Fast,0.0,Group_CC,Group_CV,True
CS2_36,64,Medium,Fast,0.3333333333333334,Group_EnergyEfficiency,Group_CV,True
CS2_37,1,Slow,Medium,1.0,Group_CC,Group_CC,False
CS2_37,1,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_37,1,Medium,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_37,4,Slow,Medium,0.3333333333333334,Group_CC,Group_CC,False
CS2_37,4,Slow,Fast,1.0,Group_CC,Group_CC,False
CS2_37,4,Medium,Fast,0.3333333333333334,Group_CC,Group_CC,False
CS2_37,8,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_37,8,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_37,8,Medium,Fast,1.0,Group_CC,Group_CC,False
CS2_37,12,Slow,Medium,-0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_37,12,Slow,Fast,0.0,Group_CC,Group_CC,False
CS2_37,12,Medium,Fast,0.6666666666666669,Group_DischargeIC,Group_CC,True
CS2_37,16,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_37,16,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_37,16,Medium,Fast,1.0,Group_CC,Group_CC,False
CS2_37,24,Slow,Medium,-0.6666666666666669,Group_CC,Group_DischargeIC,True
CS2_37,24,Slow,Fast,0.3333333333333334,Group_CC,Group_CC,False
CS2_37,24,Medium,Fast,0.0,Group_DischargeIC,Group_CC,True
CS2_37,32,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_37,32,Slow,Fast,0.0,Group_CC,Group_DischargeIC,True
CS2_37,32,Medium,Fast,-0.3333333333333334,Group_CC,Group_DischargeIC,True
CS2_37,48,Slow,Medium,-0.6666666666666669,Group_CC,Group_CV,True
CS2_37,48,Slow,Fast,0.3333333333333334,Group_CC,Group_CC,False
CS2_37,48,Medium,Fast,-0.6666666666666669,Group_CV,Group_CC,True
CS2_37,64,Slow,Medium,-0.3333333333333334,Group_CV,Group_DischargeIC,True
CS2_37,64,Slow,Fast,-0.6666666666666669,Group_CV,Group_DischargeIC,True
CS2_37,64,Medium,Fast,0.0,Group_DischargeIC,Group_DischargeIC,False
CS2_38,1,Slow,Medium,0.0,Group_CC,Group_CC,False
CS2_38,1,Slow,Fast,1.0,Group_CC,Group_CC,False
CS2_38,1,Medium,Fast,0.0,Group_CC,Group_CC,False
CS2_38,4,Slow,Medium,0.6666666666666669,Group_CC,Group_CC,False
CS2_38,4,Slow,Fast,0.6666666666666669,Group_CC,Group_CC,False
CS2_38,4,Medium,Fast,0.3333333333333334,Group_CC,Group_CC,False
