battery,state_definition,state,n
CS2_35,state_cycle_position,Early-life,333
CS2_35,state_cycle_position,Late-life,220
CS2_35,state_cycle_position,Mid-life,333
CS2_35,state_degradation_dynamics,Fast,234
CS2_35,state_degradation_dynamics,Medium,216
CS2_35,state_degradation_dynamics,Slow,266
CS2_35,state_degradation_dynamics,,170
CS2_35,state_soh_level,Early,574
CS2_35,state_soh_level,Late,77
CS2_35,state_soh_level,Middle,231
CS2_35,state_soh_level,,4
CS2_36,state_cycle_position,Early-life,333
CS2_36,state_cycle_position,Late-life,310
CS2_36,state_cycle_position,Mid-life,333
CS2_36,state_degradation_dynamics,Fast,355
CS2_36,state_degradation_dynamics,Medium,234
CS2_36,state_degradation_dynamics,Slow,249
CS2_36,state_degradation_dynamics,,138
CS2_36,state_soh_level,Early,528
CS2_36,state_soh_level,Late,183
CS2_36,state_soh_level,Middle,262
CS2_36,state_soh_level,,3
CS2_37,state_cycle_position,Early-life,333
CS2_37,state_cycle_position,Late-life,377
CS2_37,state_cycle_position,Mid-life,333
CS2_37,state_degradation_dynamics,Fast,316
CS2_37,state_degradation_dynamics,Medium,290
CS2_37,state_degradation_dynamics,Slow,235
CS2_37,state_degradation_dynamics,,202
CS2_37,state_soh_level,Early,593
CS2_37,state_soh_level,Late,160
CS2_37,state_soh_level,Middle,285
CS2_37,state_soh_level,,5
CS2_38,state_cycle_position,Early-life,333
CS2_38,state_cycle_position,Late-life,366
CS2_38,state_cycle_position,Mid-life,333
CS2_38,state_degradation_dynamics,Fast,306
CS2_38,state_degradation_dynamics,Medium,266
CS2_38,state_degradation_dynamics,Slow,290
CS2_38,state_degradation_dynamics,,170
CS2_38,state_soh_level,Early,631
CS2_38,state_soh_level,Late,120
CS2_38,state_soh_level,Middle,277
CS2_38,state_soh_level,,4
